sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,nelx,nely,nu,save_every,scale_factor,tol_change,tol_obj,void_size_frac,volfrac,window_size
90,cross_rectangular,auxetic,True,0.1846902675964424,0.18477013703293993,143.98403421789175,150,True,28.06,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.223621,0.652014,20
91,cross_rectangular,auxetic,True,0.174136910377354,0.1741369103773574,63.44938553877879,62,True,11.61,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.311635,0.496652,20
92,cross_rectangular,auxetic,True,0.1765048023143182,0.17578125632600924,148.26082032940465,150,True,27.63,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.208548,0.660709,20
93,cross_rectangular,auxetic,True,0.12403438670386789,0.12403438670386768,90.44157223442278,55,True,10.26,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.355528,0.586399,20
94,cross_rectangular,auxetic,True,0.21343630791888452,0.21343630791889276,72.77790256993066,35,True,6.46,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.274829,0.514916,20
95,cross_rectangular,auxetic,True,0.14191839935435654,0.14191839935435832,31.410389650033466,35,True,6.79,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.287273,0.370948,20
96,cross_rectangular,auxetic,True,0.26851861453154136,0.25257977116323616,97.30375621784978,150,True,28.06,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.114613,0.559034,20
97,cross_rectangular,auxetic,True,0.1892080198530703,0.1902566706934794,124.85977720585763,150,True,28.59,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.157551,0.621045,20
98,cross_rectangular,auxetic,True,0.4058426361649075,0.4058426361649134,72.65140705554447,34,True,6.55,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.154092,0.476356,20
99,cross_rectangular,auxetic,True,0.12563447648290088,0.12563447648289827,82.43665003413471,29,True,5.5,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.353691,0.564818,20
100,cross_rectangular,auxetic,True,0.28876570628778364,0.28876570628777853,25.12959270896473,45,True,8.53,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.235961,0.313735,20
101,cross_rectangular,auxetic,True,0.07873575736919601,0.07873575736920511,111.43203184172421,33,True,6.31,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.362284,0.640648,20
102,cross_rectangular,auxetic,True,0.4065077291894234,0.40650772918941924,63.05629460174177,31,True,5.89,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.122406,0.44293,20
103,cross_rectangular,auxetic,True,0.19960319307925053,0.18544355148623948,118.18676925970905,150,True,27.49,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.130339,0.632446,20
104,cross_rectangular,auxetic,True,0.32422373379908753,0.32422373379909775,60.83778254127144,31,True,5.89,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.187558,0.452217,20
