config,sample_id,pair_idx,volfrac,void_size_frac,v12,v21,Q11,Q22,converged,n_iters,hit_cap,is_connected,n_components,degenerate,volfrac_achieved,osc_score,osc_unstable,is_clean,elapsed_s
normalized,normalized_00001,1,0.5585595153449123,0.3398658484197037,0.12096402203355462,0.12174064956008712,38.40435862776781,38.65092683497307,True,150,True,False,12,False,0.7028019445727587,1.3500611154601514,True,False,21.754854917526245
q12,q12_00007,7,0.514545997376568,0.2983404509853434,-0.647233031231584,-0.7303595350791731,21.15843817381056,23.87590494968679,True,150,True,True,1,False,0.5145460782019666,0.012483073666758042,False,True,22.10828733444214
normalized,normalized_00007,7,0.514545997376568,0.2983404509853434,-0.41136541572599455,-0.6268717952019925,8.37596684489543,8.370031123980345,True,150,True,True,1,False,0.5145464423731156,0.18661447829844735,True,False,22.19281268119812
q12,q12_00003,3,0.504646688973456,0.36661761457749353,0.015935184455059974,0.018351132683252887,19.81165377131776,22.81841997325958,True,150,True,True,1,False,0.504646815972623,0.07188413540202596,False,False,22.42040228843689
normalized,normalized_00003,3,0.504646688973456,0.36661761457749353,0.12391337503595447,0.11457406388945302,40.410485401314965,37.36476013852935,True,150,True,False,7,False,0.6970065942871241,1.0824259548295156,True,False,22.121652841567993
q12,q12_00005,5,0.5016467595436642,0.37699098521619945,-0.7202631099055208,-0.6767435391812745,21.04329177575004,19.786587655708924,True,150,True,True,1,False,0.5016474743714634,0.015881461556237948,False,True,22.517563581466675
normalized,normalized_00005,5,0.5016467595436642,0.37699098521619945,0.11028732114900296,0.11375257752073686,34.01165285061436,35.080307846727244,True,150,True,False,12,False,0.6859871731093241,1.277340126338109,True,False,22.685378789901733
q12,q12_00010,10,0.5489482315777904,0.2939493860652042,-0.6952258017836872,-0.7077384230624055,24.255757451317756,24.69231697784293,True,73,False,True,1,False,0.5489476027643118,0.002568900686803047,False,True,10.993505954742432
normalized,normalized_00010,10,0.5489482315777904,0.2939493860652042,0.13096008990166091,0.1287127165680848,44.30051695644612,43.540286869964724,True,150,True,False,8,False,0.7353071440554699,1.1189765710402693,True,False,24.983835458755493
q12,q12_00014,14,0.5473931655089633,0.2846450412719998,-0.6716047632505278,-0.7162498602951576,23.004795121460283,24.53404470913734,True,75,False,True,1,False,0.5473926181084001,0.009613005831419011,False,True,11.639891624450684
normalized,normalized_00014,14,0.5473931655089633,0.2846450412719998,0.13398828135512011,0.13322254470630965,45.67586294737283,45.414827565240046,True,150,True,False,8,False,0.7375405239641172,1.0625322587048875,True,False,22.92301058769226
q12,q12_00015,15,0.5486035881521151,0.2970524123687292,-0.7035766261697695,-0.7021195402250928,24.439853462763722,24.391318522319267,True,64,False,True,1,False,0.5486036174086517,0.0025617335975683686,False,True,9.902086019515991
normalized,normalized_00015,15,0.5486035881521151,0.2970524123687292,0.13121848612210585,0.12879491863144918,44.4011254294851,43.58104948348361,True,150,True,False,8,False,0.7352318950886917,1.1153182340293935,True,False,24.09386372566223
q12,q12_00011,11,0.5233715718828175,0.3166361843293692,-0.7500333459472134,-0.6693195242044246,23.656300605061208,21.174362283546625,True,150,True,True,1,False,0.5233710704195725,0.003959391309576045,False,True,24.307605743408203
normalized,normalized_00011,11,0.5233715718828175,0.3166361843293692,0.1071970613063338,0.10039785159509403,41.390611113827866,38.765320442518586,True,150,True,False,4,False,0.6924850844248074,0.9688563275161893,True,False,23.12309169769287
q12,q12_00012,12,0.5364855987373629,0.35851759613930134,-0.5715144523734403,-0.7261961163062396,18.353647446584468,23.180711977312143,True,150,True,True,1,False,0.536485448656872,0.014085193667481613,False,True,24.37374758720398
normalized,normalized_00012,12,0.5364855987373629,0.35851759613930134,0.11852119281864652,0.11746891231130319,37.250116057451734,36.91939401448758,True,150,True,False,12,False,0.6987147714569771,1.317516602016529,True,False,23.538322687149048
q12,q12_00018,18,0.5243691015338696,0.28976721140063844,-0.6784381783369645,-0.7271111666726969,22.445412751702808,24.05601844618329,True,99,False,True,1,False,0.5243695079096138,0.009394730579626219,False,True,16.974661111831665
normalized,normalized_00018,18,0.5243691015338696,0.28976721140063844,-0.5870185525964502,-0.6277711178154528,12.07472137758401,12.912984271071451,True,150,True,True,1,False,0.5876394272591017,0.12439131084444957,False,True,23.144261837005615
q12,q12_00016,16,0.5052041274388224,0.37488855372533336,0.06134915168725282,0.06729228310791704,20.27480115635956,22.238900161579437,True,150,True,False,4,False,0.636227876138981,1.6143896863671083,True,False,22.792896270751953
normalized,normalized_00016,16,0.5052041274388224,0.37488855372533336,0.11327161137740868,0.11566125846130189,34.86746416960636,35.6030494858427,True,150,True,False,12,False,0.6823779609530527,1.2733783067646345,True,False,22.165629625320435
q12,q12_00019,19,0.5547386421209726,0.32401524937396015,-1.092190846670004,-0.3996069564009539,26.42967096456621,9.67025240893627,True,150,True,True,1,False,0.5547382691543169,0.16997589722900008,True,False,23.684781074523926
normalized,normalized_00019,19,0.5547386421209726,0.32401524937396015,-0.9007156656385926,-0.7750660393499238,9.477099630515951,8.155011553352699,True,150,True,True,1,False,0.5547377495993021,0.19768183654406835,True,False,20.784587860107422
q12,q12_00013,13,0.5159739025726687,0.3314234438413612,-0.6816457409740106,-0.7006490053436851,22.463802467578937,23.071939895129674,True,150,True,True,1,False,0.5159730498764876,0.013846192866718463,False,True,24.38930606842041
normalized,normalized_00013,13,0.5159739025726687,0.3314234438413612,0.1254417568773871,0.12667694656288067,40.17112210174022,40.56667583846982,True,150,True,False,8,False,0.7101457814821932,1.122217420828446,True,False,23.991215467453003
q12,q12_00017,17,0.5772505626459647,0.3608397348116461,-0.6447813189473686,-0.6780134028870481,24.997055967404673,26.285204229707325,True,150,True,True,1,False,0.5772509915469424,0.028216582175602353,False,True,23.835500478744507
normalized,normalized_00017,17,0.5772505626459647,0.3608397348116461,0.10629559029260094,0.10497055721479653,36.53662726592432,36.08117808364408,True,150,True,False,6,False,0.7208964116465911,1.422738292714049,True,False,23.56547474861145
q12,q12_00022,22,0.5207023985280014,0.3462522284353982,-0.6447631074816398,-0.6653292725789433,22.309299364900298,23.02090559273537,True,65,False,True,1,False,0.5207016768349673,0.011763444188599927,False,True,9.592949151992798
normalized,normalized_00022,22,0.5207023985280014,0.3462522284353982,0.12137181920085417,0.11606643772071454,38.38957416534905,36.71149652633601,True,150,True,False,12,False,0.6999497833025204,1.2323759997992807,True,False,17.534432888031006
q12,q12_00023,23,0.5249368860871528,0.3320068021177811,-0.6428615524216424,-0.7159452167702973,22.916147894036428,25.521368341996435,True,60,False,True,1,False,0.5249370460038384,0.03810133255421042,False,True,8.867157220840454
normalized,normalized_00023,23,0.5249368860871528,0.3320068021177811,0.12155319512081032,0.11975431752098196,39.00491969171026,38.42768207778366,True,150,True,False,10,False,0.710298298456116,1.2097902097902096,True,False,21.28446626663208
q12,q12_00020,20,0.5097630587875823,0.32951769101112705,-0.6720669692127371,-0.5621494606345033,20.61830133532749,17.01275485576574,True,150,True,True,1,False,0.509762929241911,0.005440375218698854,False,True,24.081865310668945
normalized,normalized_00020,20,0.5097630587875823,0.32951769101112705,0.11151960154971562,0.1067764644217108,41.368423464935375,39.608947081081126,True,150,True,False,7,False,0.6908325788884335,0.8491846449913905,True,False,21.817901134490967
q12,q12_00021,21,0.5027510816892174,0.37093204020787823,-0.8012543018776942,-0.5600814585396194,24.1525876822502,16.88639643606347,True,150,True,True,1,False,0.5027509427456666,0.0024654403656031625,False,True,22.28888249397278
normalized,normalized_00021,21,0.5027510816892174,0.37093204020787823,0.11087204028799337,0.11460168356885127,34.233788675629526,35.38538487229659,True,150,True,False,12,False,0.6870128093081826,1.274001971342414,True,False,20.800986528396606
q12,q12_00025,25,0.5775667702211646,0.35751328233611146,-0.6787780987929809,-0.6573691189336844,26.10738880443598,25.28028220967765,True,128,False,True,1,False,0.5775668008773629,0.007573022415497956,False,True,17.615649700164795
normalized,normalized_00025,25,0.5775667702211646,0.35751328233611146,0.10970103259184714,0.10965350566334629,37.110557645511314,37.094479849539795,True,150,True,False,12,False,0.7163391733230379,1.4246513894152315,True,False,19.72950839996338
q12,q12_00024,24,0.5437368223474623,0.29848544555255274,-0.6957485034553497,-0.6504156785648996,25.482882758595096,23.792076797692413,True,150,True,True,1,False,0.5437376560069567,0.01252129156192313,False,True,22.682005882263184
normalized,normalized_00024,24,0.5437368223474623,0.29848544555255274,0.130434752358549,0.12519777459695966,46.08032402003655,44.230191077886275,True,150,True,False,8,False,0.7345998172940443,1.0221716361713256,True,False,22.796823740005493
q12,q12_00027,27,0.5478319983048868,0.3721874235023117,0.01892410784184668,0.021690331852029038,20.861189228626216,23.32329444467392,True,150,True,False,2,False,0.5478326816017803,0.02167492082701974,False,False,20.768508434295654
normalized,normalized_00027,27,0.5478319983048868,0.3721874235023117,-0.7942112388033653,-0.9013081425007483,8.615673738481778,9.782376733411649,True,150,True,True,1,False,0.5171090705329613,0.10385654977147883,False,True,19.87192416191101
q12,q12_00029,29,0.503618183112843,0.31253303307632646,-0.5805082877245312,-0.672607964485785,16.89120237708158,19.557302669061922,True,150,True,True,1,False,0.5036189442404502,0.010735648429894232,False,True,17.425098657608032
normalized,normalized_00029,29,0.503618183112843,0.31253303307632646,-0.9290587820656415,-0.6807067791805884,9.129266272638311,6.688789420225413,True,150,True,False,2,False,0.503619148665982,0.28081836947771943,True,False,21.336456298828125
q12,q12_00026,26,0.5751599153251351,0.3694827350427649,-0.5158722199113243,-0.8619346801313099,17.311783787660183,28.923270865334516,True,150,True,True,1,False,0.5751598429545002,0.005262961924747099,False,True,22.316322088241577
normalized,normalized_00026,26,0.5751599153251351,0.3694827350427649,0.10512775034431335,0.10817671655435003,34.82746206293162,35.837545077772404,True,150,True,False,6,False,0.7122918668838026,1.465573824024034,True,False,21.86397910118103
q12,q12_00028,28,0.5070794001641535,0.29959828624191454,-0.8728742198805971,-0.3004528411528226,33.830643517414046,11.644008288918627,True,150,True,True,1,False,0.6625580762548828,0.5036602682070572,True,False,23.41854500770569
normalized,normalized_00028,28,0.5070794001641535,0.29959828624191454,-0.6072255949744217,-0.6386058920331834,12.616544073782784,13.270118354315194,True,150,True,True,1,False,0.5637215873638745,0.14393926100997184,False,True,22.89118456840515
q12,q12_00030,30,0.5310941831751586,0.3071349031773896,-0.5244642710897423,-0.9850673319775304,8.195292900935517,15.392708493214734,True,150,True,True,1,False,0.5310939821095217,0.37392434771903554,True,False,20.998541831970215
normalized,normalized_00030,30,0.5310941831751586,0.3071349031773896,0.13222343540488923,0.1300208826604476,43.191165042204254,42.471694860477136,True,150,True,False,8,False,0.7232167953781953,1.0857228887756518,True,False,19.8780734539032
q12,q12_00031,31,0.5662990007321543,0.31567533266935893,-0.5963176228777609,-0.8635414081353476,10.894261746725158,15.777428173812957,True,150,True,True,1,False,0.5662984591595694,0.1484384905273551,False,True,19.28683304786682
normalized,normalized_00031,31,0.5662990007321543,0.31567533266935893,0.12495134920563275,0.13123502314182242,42.19195666692223,44.3137464684335,True,150,True,False,10,False,0.7224973485206908,1.249656524739894,True,False,21.529628038406372
q12,q12_00032,32,0.5224747607749904,0.33426960831582486,-0.6968714583004795,-0.7226691503930517,21.999819520707966,22.81409375827682,True,150,True,True,1,False,0.5224746091553036,0.005080290427100682,False,True,19.636001348495483
normalized,normalized_00032,32,0.5224747607749904,0.33426960831582486,0.12023177327394617,0.12213457446455223,39.00760803650069,39.6249467065828,True,150,True,False,9,False,0.7115317709869258,1.1921762650901409,True,False,19.689350128173828
q12,q12_00033,33,0.511273937997981,0.360219698075404,-0.6522290498638634,-0.6688410464941921,21.94862723380017,22.55610758112127,True,150,True,True,1,False,0.5112735396393744,0.005526367714588071,False,True,22.6685152053833
normalized,normalized_00033,33,0.511273937997981,0.360219698075404,0.11869666515393902,0.11814845623666356,36.56799339635822,36.3991015404602,True,150,True,False,11,False,0.6956514167056355,1.2358192815868614,True,False,17.98969006538391
q12,q12_00034,34,0.5059640514943816,0.37868869366005176,-0.7197227640700959,-0.46135721428084925,22.706274360311866,15.063557497804538,True,150,True,False,2,False,0.5059646590151501,0.021259188767827102,False,False,20.097590684890747
normalized,normalized_00034,34,0.5059640514943816,0.37868869366005176,0.11321737760257665,0.1153524016452209,34.97301687654748,35.63252898905065,True,150,True,False,12,False,0.6823878813484932,1.2788471199529203,True,False,21.256181955337524
q12,q12_00037,37,0.5565485875078093,0.35290071680409874,-0.7473885002601656,-0.6540174674336617,25.66417490829899,22.457956966888588,True,99,False,True,1,False,0.5565490452118294,0.0020331274285644418,False,True,14.866401672363281
