sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,move,nelx,nely,nu,penal,rmin,save_every,scale_factor,tol_change,tol_obj,verbose,void_size_frac,volfrac,window_size
1972,reentrant_bowtie,auxetic,True,-4.934160269084528e-12,-0.11076700385286221,1.2328423318839685,17,True,2.56,,199.0,1e-09,2,150,0.10996,50,50,0.3,2.926668,1.061066,9999,1,0.01,0.05,False,0.330546,0.576056,20
1973,reentrant_bowtie,auxetic,True,-0.547779068795966,-0.3269617900859725,0.46232674737478996,150,True,18.04,,199.0,1e-09,2,150,0.097051,50,50,0.3,3.592766,1.238142,9999,1,0.01,0.05,False,0.302675,0.526383,20
1974,reentrant_bowtie,auxetic,True,-0.17909184962194,-0.7363142825184281,0.5308916513076618,59,True,8.35,,199.0,1e-09,2,150,0.090926,50,50,0.3,3.569344,1.118964,9999,1,0.01,0.05,False,0.321069,0.557186,20
1975,reentrant_bowtie,auxetic,True,-0.06196670644281761,-1.6027274484600265,0.8324286045541581,33,True,4.95,,199.0,1e-09,2,150,0.081112,50,50,0.3,3.058105,1.089082,9999,1,0.01,0.05,False,0.356872,0.56005,20
1976,reentrant_bowtie,auxetic,True,-0.08816566919662329,-1.1727108194514233,0.7295671067842198,150,True,22.07,,199.0,1e-09,2,150,0.079118,50,50,0.3,3.504948,1.129063,9999,1,0.01,0.05,False,0.288329,0.57526,20
1977,reentrant_bowtie,auxetic,True,-0.8281888320283084,-0.48812256364672246,0.26211987049583285,115,True,15.81,,199.0,1e-09,2,150,0.120343,50,50,0.3,3.556668,1.203347,9999,1,0.01,0.05,False,0.297412,0.526816,20
1978,reentrant_bowtie,auxetic,True,-0.41964361421882235,-0.2793061682035968,0.5197708386961333,32,True,4.66,,199.0,1e-09,2,150,0.137861,50,50,0.3,3.447396,1.107341,9999,1,0.01,0.05,False,0.371004,0.516619,20
1979,reentrant_bowtie,auxetic,True,1.1588931412612731e-11,0.2333799307123542,1.261929950882692,15,True,1.66,,199.0,1e-09,2,150,0.139753,50,50,0.3,2.814949,1.155921,9999,1,0.01,0.05,False,0.359493,0.576764,20
1980,reentrant_bowtie,auxetic,True,-0.09490195905308942,-1.3729295809881077,0.7043711041452664,59,True,8.93,,199.0,1e-09,2,150,0.143975,50,50,0.3,3.292845,1.136845,9999,1,0.01,0.05,False,0.30847,0.554568,20
1981,reentrant_bowtie,auxetic,True,-0.27626056596866894,-0.4740648102682717,0.5123248945742142,150,True,21.29,,199.0,1e-09,2,150,0.09452,50,50,0.3,2.603684,1.183752,9999,1,0.01,0.05,False,0.311316,0.503957,20
1982,reentrant_bowtie,auxetic,True,-0.13337791532787974,-0.20488726929269271,0.6674270720352795,150,True,20.67,,199.0,1e-09,2,150,0.104907,50,50,0.3,2.835879,1.083453,9999,1,0.01,0.05,False,0.37895,0.524349,20
1983,reentrant_bowtie,auxetic,True,-0.45391973068208674,-0.28933435938079893,0.44384566162353467,37,True,5.17,,199.0,1e-09,2,150,0.081683,50,50,0.3,3.500958,1.076885,9999,1,0.01,0.05,False,0.368351,0.53272,20
1984,reentrant_bowtie,auxetic,True,-0.1130780243862388,-1.4706989129967436,0.669327705780989,99,True,12.56,,199.0,1e-09,2,150,0.093803,50,50,0.3,3.332402,1.215989,9999,1,0.01,0.05,False,0.291601,0.544853,20
1985,reentrant_bowtie,auxetic,True,-0.12931661971750355,-0.16771423811585295,0.6445521772379528,72,True,9.27,,199.0,1e-09,2,150,0.102552,50,50,0.3,2.840326,1.161477,9999,1,0.01,0.05,False,0.30594,0.52167,20
1986,reentrant_bowtie,auxetic,True,-0.093337082419701,-1.402429365050898,0.7270366702963026,37,True,5.27,,199.0,1e-09,2,150,0.13578,50,50,0.3,3.319348,1.201861,9999,1,0.01,0.05,False,0.298608,0.553532,20
1987,reentrant_bowtie,auxetic,True,-0.04490359885580571,-1.1355914139503274,0.9220941673395807,35,True,4.14,,199.0,1e-09,2,150,0.141415,50,50,0.3,2.968993,1.221939,9999,1,0.01,0.05,False,0.324186,0.546926,20
1988,reentrant_bowtie,auxetic,True,-0.08856165373258007,-1.599031751634117,0.73825064537745,60,True,7.91,,199.0,1e-09,2,150,0.109694,50,50,0.3,3.203898,1.228092,9999,1,0.01,0.05,False,0.327624,0.548092,20
1989,reentrant_bowtie,auxetic,True,2.595578309170906e-11,0.5343420258926769,1.2696237279722706,19,True,2.92,,199.0,1e-09,2,150,0.089144,50,50,0.3,2.698612,1.150741,9999,1,0.01,0.05,False,0.284159,0.565932,20
1990,reentrant_bowtie,auxetic,True,-0.3191079959169997,-0.24518604908477865,0.5637842092757565,150,True,20.81,,199.0,1e-09,2,150,0.114894,50,50,0.3,3.049268,1.206481,9999,1,0.01,0.05,False,0.37421,0.520981,20
1991,reentrant_bowtie,auxetic,True,-0.05239029739874443,-1.7396109207443624,0.8687433724472001,32,True,4.94,,199.0,1e-09,2,150,0.125529,50,50,0.3,3.027727,1.060207,9999,1,0.01,0.05,False,0.301269,0.552307,20
1992,reentrant_bowtie,auxetic,True,-0.0912179801959426,-1.5760201685782513,0.7221685812775918,41,True,5.87,,199.0,1e-09,2,150,0.139945,50,50,0.3,3.316353,1.201544,9999,1,0.01,0.05,False,0.364082,0.545837,20
1993,reentrant_bowtie,auxetic,True,-0.050523833637167434,-1.5028327092256824,0.8725904856113806,39,True,5.23,,199.0,1e-09,2,150,0.128012,50,50,0.3,3.07328,1.135301,9999,1,0.01,0.05,False,0.321936,0.551836,20
1994,reentrant_bowtie,auxetic,True,-0.04404021991420661,-0.1638502575928131,0.9376797019720193,66,True,8.22,,199.0,1e-09,2,150,0.087423,50,50,0.3,2.568109,1.175475,9999,1,0.01,0.05,False,0.317307,0.564214,20
1995,reentrant_bowtie,auxetic,True,-0.27298784080380145,-0.4499712666977811,0.39520334790432354,52,True,7.03,,199.0,1e-09,2,150,0.121487,50,50,0.3,2.783218,1.06551,9999,1,0.01,0.05,False,0.331658,0.504661,20
1996,reentrant_bowtie,auxetic,True,-0.20133358874790794,-0.2385268463989595,0.5322213328180315,150,True,20.58,,199.0,1e-09,2,150,0.138431,50,50,0.3,2.629708,1.194175,9999,1,0.01,0.05,False,0.325657,0.507542,20
1997,reentrant_bowtie,auxetic,True,-0.2802161417695919,-0.38267406175340213,0.5104714959086077,72,True,8.9,,199.0,1e-09,2,150,0.141094,50,50,0.3,2.775022,1.220909,9999,1,0.01,0.05,False,0.357792,0.510282,20
1998,reentrant_bowtie,auxetic,True,6.459080128526192e-12,0.15998450674843093,1.162996005727134,16,True,2.45,,199.0,1e-09,2,150,0.132981,50,50,0.3,3.160036,1.083694,9999,1,0.01,0.05,False,0.355822,0.553172,20
1999,reentrant_bowtie,auxetic,True,-0.08480105946170347,-1.894697694822885,0.7644554656552377,47,True,7.15,,199.0,1e-09,2,150,0.125977,50,50,0.3,3.25271,1.164988,9999,1,0.01,0.05,False,0.329798,0.554148,20
2000,reentrant_bowtie,auxetic,True,-0.07129223446936742,-1.2605140435969127,0.808306516847363,150,True,21.6,,199.0,1e-09,2,150,0.09905,50,50,0.3,3.092956,1.226604,9999,1,0.01,0.05,False,0.322035,0.551317,20
2001,reentrant_bowtie,auxetic,True,-0.41092276740673944,-0.30242781309845745,0.4435027951632108,57,True,7.48,,199.0,1e-09,2,150,0.121114,50,50,0.3,3.263103,1.081972,9999,1,0.01,0.05,False,0.318651,0.51549,20
2002,reentrant_bowtie,auxetic,True,-0.4614372710665031,-0.3144540849947761,0.45589822627086896,106,True,13.75,,199.0,1e-09,2,150,0.083694,50,50,0.3,3.412037,1.1446,9999,1,0.01,0.05,False,0.344788,0.52644,20
2003,reentrant_bowtie,auxetic,True,-0.26720129010202653,-0.36043131877323104,0.5342072816176522,150,True,20.81,,199.0,1e-09,2,150,0.133674,50,50,0.3,2.86822,1.227296,9999,1,0.01,0.05,False,0.348869,0.514236,20
2004,reentrant_bowtie,auxetic,True,-0.2790222850003635,-0.3802136772915209,0.5092825839706999,86,True,10.16,,199.0,1e-09,2,150,0.094508,50,50,0.3,2.628349,1.24508,9999,1,0.01,0.05,False,0.367789,0.53112,20
2005,reentrant_bowtie,auxetic,True,-0.051713021390138655,-1.2037544355278897,0.8883803511914623,150,True,18.78,,199.0,1e-09,2,150,0.093556,50,50,0.3,3.218917,1.094664,9999,1,0.01,0.05,False,0.295399,0.576476,20
2006,reentrant_bowtie,auxetic,True,-0.03310515303859458,-0.9202089548128825,1.0126175889112654,150,True,21.52,,199.0,1e-09,2,150,0.1398,50,50,0.3,3.093467,1.199357,9999,1,0.01,0.05,False,0.329889,0.56696,20
2007,reentrant_bowtie,auxetic,True,-0.27594643837349203,-0.4310089555429791,0.5250794601684087,150,True,20.44,,199.0,1e-09,2,150,0.136191,50,50,0.3,2.732826,1.21567,9999,1,0.01,0.05,False,0.295231,0.502643,20
2008,reentrant_bowtie,auxetic,True,-0.0007748598681773195,-0.10936332096955857,1.2980566380227927,150,True,22.91,,199.0,1e-09,2,150,0.094352,50,50,0.3,2.667972,1.058089,9999,1,0.01,0.05,False,0.360432,0.558704,20
2009,reentrant_bowtie,auxetic,True,-0.10095721246403964,-0.86275569551203,0.681391240892786,53,True,7.56,,199.0,1e-09,2,150,0.090835,50,50,0.3,3.558824,1.100895,9999,1,0.01,0.05,False,0.313129,0.573832,20
2010,reentrant_bowtie,auxetic,True,-0.3329021821924372,-0.475281244364912,0.37924189857384527,82,True,11.65,,199.0,1e-09,2,150,0.07986,50,50,0.3,2.860266,1.171975,9999,1,0.01,0.05,False,0.335071,0.522565,20
2011,reentrant_bowtie,auxetic,True,-0.06089853513810722,-0.29854344961327606,0.8770253981940942,46,True,6.25,,199.0,1e-09,2,150,0.136626,50,50,0.3,2.917596,1.074229,9999,1,0.01,0.05,False,0.3588,0.536023,20
2012,reentrant_bowtie,auxetic,True,-3.5700681879403126e-12,-0.07918677064244802,1.2093660535184514,18,True,2.6,,199.0,1e-09,2,150,0.104384,50,50,0.3,2.809414,1.106915,9999,1,0.01,0.05,False,0.333981,0.561226,20
2013,reentrant_bowtie,auxetic,True,-0.24504161658685217,-0.3713394073853614,0.4819518039461158,150,True,20.81,,199.0,1e-09,2,150,0.09563,50,50,0.3,2.718034,1.12757,9999,1,0.01,0.05,False,0.292253,0.523398,20
2014,reentrant_bowtie,auxetic,True,-0.10402537210865569,-1.0494884584718989,0.6417534372911395,63,True,9.52,,199.0,1e-09,2,150,0.123371,50,50,0.3,3.403066,1.0908,9999,1,0.01,0.05,False,0.379299,0.549352,20
2015,reentrant_bowtie,auxetic,True,-0.06758434355266951,-0.19920574743779357,0.7966722984055326,150,True,19.29,,199.0,1e-09,2,150,0.113323,50,50,0.3,2.744249,1.119394,9999,1,0.01,0.05,False,0.31248,0.53842,20
2016,reentrant_bowtie,auxetic,True,-0.26247220788613274,-0.3951707060887998,0.4115183951686675,39,True,4.95,,199.0,1e-09,2,150,0.12529,50,50,0.3,2.681835,1.07713,9999,1,0.01,0.05,False,0.302793,0.525488,20
2017,reentrant_bowtie,auxetic,True,-0.17138725987878534,-0.2841819476632423,0.5828975207203694,150,True,22.07,,199.0,1e-09,2,150,0.083839,50,50,0.3,2.890139,1.224222,9999,1,0.01,0.05,False,0.308509,0.50112,20
2018,reentrant_bowtie,auxetic,True,-0.06284635986094202,-1.331561436693978,0.8573160938675185,150,True,20.08,,199.0,1e-09,2,150,0.091942,50,50,0.3,3.383845,1.064415,9999,1,0.01,0.05,False,0.369948,0.579985,20
2019,reentrant_bowtie,auxetic,True,-0.09089730118267683,-1.3953034139875202,0.736173830723939,33,True,4.33,,199.0,1e-09,2,150,0.084787,50,50,0.3,3.19286,1.206279,9999,1,0.01,0.05,False,0.322506,0.557689,20
2020,reentrant_bowtie,auxetic,True,-0.46399813096813314,-0.2736511929037898,0.4843898149977245,75,True,9.99,,199.0,1e-09,2,150,0.078326,50,50,0.3,3.55042,1.174213,9999,1,0.01,0.05,False,0.37683,0.533907,20
2021,reentrant_bowtie,auxetic,True,-0.0586816406553827,-0.16064879452677638,0.7366890418847574,150,True,20.23,,199.0,1e-09,2,150,0.124252,50,50,0.3,3.656287,1.095597,9999,1,0.01,0.05,False,0.336866,0.504388,20
2022,reentrant_bowtie,auxetic,True,-0.037747211515510824,-1.4165553339694839,1.0151366656266896,150,True,19.31,,199.0,1e-09,2,150,0.101108,50,50,0.3,3.143627,1.163592,9999,1,0.01,0.05,False,0.307838,0.582969,20
2023,reentrant_bowtie,auxetic,True,-0.46402849060875734,-0.5156759304920789,0.21243851741924769,150,True,18.46,,199.0,1e-09,2,150,0.08149,50,50,0.3,3.615458,1.089724,9999,1,0.01,0.05,False,0.334657,0.513394,20
2024,reentrant_bowtie,auxetic,True,-0.25092057510403554,-0.36194740429170225,0.4912721299086541,150,True,20.77,,199.0,1e-09,2,150,0.086947,50,50,0.3,3.154263,1.199107,9999,1,0.01,0.05,False,0.285576,0.501756,20
2025,reentrant_bowtie,auxetic,True,-0.08748357578072634,-1.1579937457592273,0.7718238541097784,54,True,7.78,,199.0,1e-09,2,150,0.090519,50,50,0.3,3.20783,1.245889,9999,1,0.01,0.05,False,0.374835,0.562487,20
2026,reentrant_bowtie,auxetic,True,-0.005308062626049759,-0.13885962168457688,1.2445546615843075,150,True,20.0,,199.0,1e-09,2,150,0.109028,50,50,0.3,2.742084,1.161873,9999,1,0.01,0.05,False,0.322268,0.548678,20
2027,reentrant_bowtie,auxetic,True,-0.458250708084197,-0.5374088007768435,0.20638973548016581,150,True,20.72,,199.0,1e-09,2,150,0.084995,50,50,0.3,3.437571,1.123415,9999,1,0.01,0.05,False,0.340313,0.514871,20
2028,reentrant_bowtie,auxetic,True,-0.379039014698294,-0.43591525761163746,0.37110897164255363,150,True,21.02,,199.0,1e-09,2,150,0.08894,50,50,0.3,3.475001,1.169902,9999,1,0.01,0.05,False,0.353697,0.517208,20
2029,reentrant_bowtie,auxetic,True,-0.266021535771685,-0.3830362724874386,0.5259408982285799,150,True,19.66,,199.0,1e-09,2,150,0.109315,50,50,0.3,2.575907,1.132607,9999,1,0.01,0.05,False,0.334871,0.548019,20
2030,reentrant_bowtie,auxetic,True,1.9728087623302266e-11,0.37476141374678534,1.3106030378331706,17,True,2.27,,199.0,1e-09,2,150,0.108799,50,50,0.3,2.696666,1.117609,9999,1,0.01,0.05,False,0.297218,0.567087,20
2031,reentrant_bowtie,auxetic,True,-0.050926200242051196,-0.27919691392423684,0.8815228841787841,30,True,4.48,,199.0,1e-09,2,150,0.133516,50,50,0.3,2.861226,1.147857,9999,1,0.01,0.05,False,0.33591,0.536111,20
2032,reentrant_bowtie,auxetic,True,-0.2931322680856197,-0.41145263849015923,0.4835768081215379,75,True,10.92,,199.0,1e-09,2,150,0.101815,50,50,0.3,2.652932,1.182227,9999,1,0.01,0.05,False,0.345085,0.528424,20
2033,reentrant_bowtie,auxetic,True,-0.36378674938661515,-0.5709821179212182,0.2434787150740797,150,True,20.16,,199.0,1e-09,2,150,0.095681,50,50,0.3,3.098835,1.178207,9999,1,0.01,0.05,False,0.370914,0.531174,20
2034,reentrant_bowtie,auxetic,True,-0.11092185745899426,-0.17773838457183652,0.6815257945596569,150,True,22.38,,199.0,1e-09,2,150,0.141775,50,50,0.3,3.135753,1.110534,9999,1,0.01,0.05,False,0.291401,0.511603,20
2035,reentrant_bowtie,auxetic,True,-0.2896370168756376,-0.42617405512281886,0.47540533123466955,150,True,20.03,,199.0,1e-09,2,150,0.084315,50,50,0.3,2.766368,1.243505,9999,1,0.01,0.05,False,0.375492,0.518481,20
2036,reentrant_bowtie,auxetic,True,-0.283963958808832,-0.366053818765058,0.49056236190358316,150,True,20.31,,199.0,1e-09,2,150,0.076058,50,50,0.3,2.685437,1.234234,9999,1,0.01,0.05,False,0.376036,0.510455,20
2037,reentrant_bowtie,auxetic,True,-0.06667638676807364,-1.2529354429096153,0.8174673926432126,61,True,8.86,,199.0,1e-09,2,150,0.127425,50,50,0.3,3.38055,1.184927,9999,1,0.01,0.05,False,0.34267,0.576195,20
2038,reentrant_bowtie,auxetic,True,-0.043492672757491205,-1.7530756374350758,0.9289212087392377,33,True,3.72,,199.0,1e-09,2,150,0.088727,50,50,0.3,2.957251,1.168798,9999,1,0.01,0.05,False,0.323794,0.551948,20
2039,reentrant_bowtie,auxetic,True,-0.4585133747977113,-0.508593258476807,0.2147725045129345,85,True,10.41,,199.0,1e-09,2,150,0.081308,50,50,0.3,3.170164,1.108848,9999,1,0.01,0.05,False,0.300232,0.525636,20
2040,reentrant_bowtie,auxetic,True,8.861210621266329e-12,0.1824017043677692,1.2265788886604854,16,True,2.44,,199.0,1e-09,2,150,0.120586,50,50,0.3,2.705873,1.216307,9999,1,0.01,0.05,False,0.339281,0.56166,20
2041,reentrant_bowtie,auxetic,True,-0.31498165691249796,-0.6683917518598665,0.3927534769027017,71,True,8.88,,199.0,1e-09,2,150,0.140718,50,50,0.3,3.236278,1.129575,9999,1,0.01,0.05,False,0.372911,0.533976,20
2042,reentrant_bowtie,auxetic,True,-0.1975695508781109,-0.7858028759511936,0.5203817487564049,150,True,21.58,,199.0,1e-09,2,150,0.113806,50,50,0.3,3.600777,1.110206,9999,1,0.01,0.05,False,0.35846,0.555748,20
2043,reentrant_bowtie,auxetic,True,-0.2724544373824503,-0.23870876863917814,0.6062553517592969,150,True,20.58,,199.0,1e-09,2,150,0.097661,50,50,0.3,3.062891,1.18021,9999,1,0.01,0.05,False,0.369193,0.520099,20
2044,reentrant_bowtie,auxetic,True,-0.7803791127552456,-0.5458025910448678,0.21415429853003998,150,True,21.18,,199.0,1e-09,2,150,0.138483,50,50,0.3,3.459354,1.078025,9999,1,0.01,0.05,False,0.326371,0.515937,20
2045,reentrant_bowtie,auxetic,True,-1.8549019112013705e-11,-0.40215886474705187,1.2496963324352728,15,True,1.82,,199.0,1e-09,2,150,0.135503,50,50,0.3,2.848387,1.063916,9999,1,0.01,0.05,False,0.350361,0.563584,20
2046,reentrant_bowtie,auxetic,True,-0.32502082864869464,-0.5597195016039092,0.4475232298349969,150,True,21.03,,199.0,1e-09,2,150,0.07523,50,50,0.3,3.464934,1.214017,9999,1,0.01,0.05,False,0.339863,0.541998,20
2047,reentrant_bowtie,auxetic,True,-0.4278689788665602,-0.263209549778096,0.5254355172482325,150,True,19.42,,199.0,1e-09,2,150,0.130492,50,50,0.3,3.409532,1.197773,9999,1,0.01,0.05,False,0.360883,0.52233,20
