batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac
1,cross_rectangular,316,outputs/multi_batch/batch_1/cross_rectangular/sample_0316/iteration_00150.png,-0.3125101372332081,-0.3589811817183204,0.513514,1.1192199055929115,True,0.513515,4.476256,1.041542,0.140154,0.323435,4,False,False,0.531005859375
1,cross_rectangular,317,outputs/multi_batch/batch_1/cross_rectangular/sample_0317/iteration_00150.png,-0.2527406901597296,-0.2574327223923235,0.582551,0.7546418819972174,True,0.582551,3.450084,1.856744,0.197165,0.446529,2,False,False,0.5888671875
1,cross_rectangular,319,outputs/multi_batch/batch_1/cross_rectangular/sample_0319/iteration_00150.png,-0.0639449072741053,-0.0710809161172119,0.484437,1.100801862959123,True,0.484438,2.078043,2.436957,0.053251,0.490453,2,False,False,0.48974609375
1,cross_rectangular,325,outputs/multi_batch/batch_1/cross_rectangular/sample_0325/iteration_00150.png,0.0641418075457165,0.0642492346930259,0.499556,1.0431062951891996,True,0.499556,3.00724,1.068294,0.167078,0.338691,2,False,False,0.509033203125
1,cross_rectangular,342,outputs/multi_batch/batch_1/cross_rectangular/sample_0342/iteration_00150.png,-0.4280881249565509,-0.4661654321025365,0.471169,0.541775309141344,True,0.471169,4.157922,1.021174,0.241362,0.435295,3,False,False,0.4765625
1,cross_rectangular,351,outputs/multi_batch/batch_1/cross_rectangular/sample_0351/iteration_00150.png,0.0461463384151382,0.022619356547763,0.393337,1.5721708921168704,True,0.461624,3.462312,1.478275,0.059612,0.35761,4,False,False,0.401611328125
1,cross_rectangular,353,outputs/multi_batch/batch_1/cross_rectangular/sample_0353/iteration_00150.png,-0.4600322537480113,-0.4752060297209782,0.535872,0.481114112966267,True,0.535872,3.357358,1.144193,0.210726,0.266083,3,False,False,0.537109375
1,four_circle,362,outputs/multi_batch/batch_1/four_circle/sample_0362/iteration_00150.png,-0.247246656884777,-0.2580854098641565,0.511993,0.7484367241515217,True,0.511993,3.583474,2.106444,0.105974,0.489991,3,False,False,0.51220703125
1,four_circle,363,outputs/multi_batch/batch_1/four_circle/sample_0363/iteration_00150.png,-0.4145452236041093,-0.4145452236044676,0.610036,0.3703159022199275,True,0.632592,2.262446,1.029258,0.172821,0.379169,3,False,False,0.62744140625
1,four_circle,365,outputs/multi_batch/batch_1/four_circle/sample_0365/iteration_00127.png,-0.206914017215682,-0.2026324779598879,0.479734,0.7282575301087322,True,0.479735,2.406135,2.297736,0.139896,0.546317,3,False,False,0.4833984375
1,four_circle,366,outputs/multi_batch/batch_1/four_circle/sample_0366/iteration_00150.png,-0.0119570456677491,-0.1282244559252609,0.276238,1.995089039390079,True,0.570188,4.717462,1.281978,0.087822,0.307917,12,False,False,0.265380859375
1,four_circle,369,outputs/multi_batch/batch_1/four_circle/sample_0369/iteration_00150.png,-0.3293143321982478,-0.3378417871434702,0.636313,0.4770886279588302,True,0.640314,2.034798,1.864689,0.080117,0.338442,2,False,False,0.63916015625
1,four_circle,370,outputs/multi_batch/batch_1/four_circle/sample_0370/iteration_00150.png,-0.5266177961790857,-0.5794039145757619,0.455158,1.2880435984453769,True,0.613579,4.340265,1.743957,0.129654,0.407982,4,False,False,0.4541015625
1,four_circle,371,outputs/multi_batch/batch_1/four_circle/sample_0371/iteration_00150.png,-0.163407006956323,-0.1317187908586853,0.480869,0.8963653223948833,True,0.483217,3.017031,2.165213,0.199525,0.292463,2,False,False,0.48681640625
1,four_circle,373,outputs/multi_batch/batch_1/four_circle/sample_0373/iteration_00150.png,-0.3230694257612538,-0.3230694257615374,0.572456,0.6541771642772836,True,0.581381,3.148641,1.183662,0.113478,0.464302,3,False,False,0.581298828125
1,four_circle,377,outputs/multi_batch/batch_1/four_circle/sample_0377/iteration_00150.png,-0.0071101752369775,-0.0178081589160101,0.355009,1.627297644124244,True,0.500941,2.746455,1.22839,0.071541,0.436952,5,False,False,0.35400390625
1,four_circle,378,outputs/multi_batch/batch_1/four_circle/sample_0378/iteration_00143.png,-0.285750444224833,-0.2888835414025856,0.529381,0.6959785227098317,True,0.529382,4.941108,2.193107,0.119465,0.346385,3,False,False,0.533935546875
1,four_circle,383,outputs/multi_batch/batch_1/four_circle/sample_0383/iteration_00150.png,0.143511933157486,0.1435119331575668,0.590291,1.4316901827435726,True,0.591245,2.134748,2.49703,0.241963,0.265722,3,False,False,0.6123046875
1,four_circle,384,outputs/multi_batch/batch_1/four_circle/sample_0384/iteration_00150.png,-0.0832673823882616,-0.1155172783173385,0.390281,1.6936683338204963,True,0.490349,4.793659,1.54463,0.227598,0.390033,3,False,False,0.389404296875
1,four_circle,386,outputs/multi_batch/batch_1/four_circle/sample_0386/iteration_00150.png,-0.4231551964418077,-0.434302405449192,0.646972,0.0629616964909752,True,0.646973,4.183585,1.057062,0.145885,0.278395,4,False,False,0.650146484375
1,four_circle,387,outputs/multi_batch/batch_1/four_circle/sample_0387/iteration_00150.png,-0.2757725517740181,-0.2490620236342797,0.443838,1.1934035889311578,True,0.524409,2.506086,2.040545,0.175132,0.468891,3,False,False,0.440185546875
1,four_circle,397,outputs/multi_batch/batch_1/four_circle/sample_0397/iteration_00150.png,-0.3655254674055287,-0.3738387462625843,0.50746,0.5444609181493627,True,0.50746,3.33295,1.454478,0.148775,0.348609,3,False,False,0.528564453125
1,four_circle,398,outputs/multi_batch/batch_1/four_circle/sample_0398/iteration_00150.png,-0.3301552805351357,-0.3310687017616101,0.543469,0.8817306365255034,True,0.543469,4.120604,1.943115,0.097726,0.429968,4,False,False,0.548095703125
1,four_circle,399,outputs/multi_batch/batch_1/four_circle/sample_0399/iteration_00150.png,-0.3489342627815888,-0.3489342627818324,0.572478,0.6560649629566025,True,0.663092,2.440184,1.145714,0.230879,0.319585,13,False,False,0.5869140625
1,four_circle,402,outputs/multi_batch/batch_1/four_circle/sample_0402/iteration_00150.png,-0.2057837336984518,-0.2095290730165091,0.578072,0.7216079274954105,True,0.578071,3.741942,2.395206,0.131676,0.304132,3,False,False,0.58203125
1,four_circle,404,outputs/multi_batch/batch_1/four_circle/sample_0404/iteration_00150.png,-0.3728124690489333,-0.3407313377491467,0.48875,0.5822877675355582,True,0.488751,3.879777,1.325785,0.155223,0.471281,3,False,False,0.489501953125
1,four_circle,407,outputs/multi_batch/batch_1/four_circle/sample_0407/iteration_00097.png,-0.0222279768318052,-0.0235733628311766,0.515242,1.4795991447960062,True,0.515242,3.185226,2.283132,0.204565,0.382881,3,False,False,0.529541015625
1,four_circle,408,outputs/multi_batch/batch_1/four_circle/sample_0408/iteration_00150.png,-0.422876590958681,-0.4755519453753872,0.595565,0.5881388324910342,True,0.595566,4.975036,1.083382,0.209758,0.425219,5,False,False,0.592041015625
1,four_circle,409,outputs/multi_batch/batch_1/four_circle/sample_0409/iteration_00150.png,-0.3272882448149787,-0.2853298943303541,0.466167,0.9454949901345502,True,0.466166,3.273137,2.066773,0.067914,0.314997,3,False,False,0.47265625
1,four_circle,415,outputs/multi_batch/batch_1/four_circle/sample_0415/iteration_00150.png,-0.1667026568643087,-0.152611079035208,0.62026,0.9052015102466164,True,0.625807,3.036059,1.653795,0.244364,0.444039,2,False,False,0.6318359375
1,four_circle,420,outputs/multi_batch/batch_1/four_circle/sample_0420/iteration_00150.png,0.0128195455061309,0.0174380315840237,0.372891,1.802098672226522,True,0.521884,4.596374,1.379833,0.170217,0.290022,7,False,False,0.37646484375
1,four_circle,422,outputs/multi_batch/batch_1/four_circle/sample_0422/iteration_00150.png,-0.3921831028694906,-0.4342177117155976,0.607723,0.4684082919908002,True,0.61552,3.614254,1.126641,0.050025,0.340686,4,False,False,0.609619140625
1,four_circle,425,outputs/multi_batch/batch_1/four_circle/sample_0425/iteration_00150.png,-0.2108586207611583,-0.2108586207614057,0.619875,0.8428222108797184,True,0.693444,2.448845,1.961606,0.051811,0.507952,2,False,False,0.626708984375
1,four_circle,428,outputs/multi_batch/batch_1/four_circle/sample_0428/iteration_00150.png,-0.0495640747866302,-0.0295518472433764,0.281294,1.8654781732593384,True,0.505308,4.52886,1.849534,0.186761,0.403861,7,False,False,0.279052734375
1,four_circle,433,outputs/multi_batch/batch_1/four_circle/sample_0433/iteration_00150.png,-0.2794691182880084,-0.2897172331650984,0.545411,0.8912065646453661,True,0.545411,3.205633,1.599111,0.075003,0.425905,4,False,False,0.54833984375
1,four_circle,434,outputs/multi_batch/batch_1/four_circle/sample_0434/iteration_00150.png,-0.0956145593383028,-0.1260882056675199,0.454714,1.4388808524221623,True,0.454714,3.917962,1.816529,0.127712,0.357432,2,False,False,0.453857421875
1,four_circle,438,outputs/multi_batch/batch_1/four_circle/sample_0438/iteration_00150.png,-0.0464167403104492,-0.0369630672015048,0.485323,1.6076134567841769,True,0.513212,4.289132,1.044315,0.066176,0.444578,5,False,False,0.488037109375
1,four_circle,439,outputs/multi_batch/batch_1/four_circle/sample_0439/iteration_00150.png,-0.2863408383701296,-0.2863408383703554,0.533088,0.7907203902628951,True,0.642597,2.962969,2.123425,0.211048,0.255831,3,False,False,0.532958984375
1,four_circle,444,outputs/multi_batch/batch_1/four_circle/sample_0444/iteration_00150.png,0.0353817828844071,0.0281455638811958,0.324514,1.5761502027507008,True,0.534537,3.994256,2.35769,0.187703,0.284855,4,False,False,0.32373046875
1,four_circle,447,outputs/multi_batch/batch_1/four_circle/sample_0447/iteration_00150.png,-0.3722671222103572,-0.3331293406769304,0.500722,0.6443013155877519,True,0.500722,3.305486,1.063434,0.240024,0.493796,3,False,False,0.5009765625
