batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac,n_iters,max_iter,hit_cap,osc_score,osc_unstable
1,circle,116,outputs/multi_batch/batch_1/circle/sample_0116/iteration_00150.png,-0.2779353042814889,-0.3173524357979161,0.490088,0.7895414064482302,True,0.490089,4.290661,1.242239,0.154375,0.437416,2,False,False,0.489013671875,150,150,True,0.18382853799982365,True
1,circle_half_quarter,121,outputs/multi_batch/batch_1/circle_half_quarter/sample_0121/iteration_00150.png,0.0608011474113247,0.0608011474113548,0.314658,1.7167684375099532,True,0.671686,3.741757,2.291426,0.166983,0.458564,1,True,False,0.3232421875,150,150,True,0.18081408684298741,True
1,circle_half_quarter,123,outputs/multi_batch/batch_1/circle_half_quarter/sample_0123/iteration_00150.png,0.1833404422743877,0.1833404422745317,0.360066,1.886135765103216,True,0.51956,4.885093,1.974481,0.116287,0.501055,5,False,False,0.333984375,150,150,True,0.14548417132216016,False
1,circle_half_quarter,124,outputs/multi_batch/batch_1/circle_half_quarter/sample_0124/iteration_00150.png,0.0780336478176709,0.0780336478177329,0.247844,1.8548255006036305,True,0.565055,2.536863,2.356625,0.133373,0.51876,3,False,False,0.23828125,150,150,True,0.017485864529221944,False
1,circle_half_quarter,125,outputs/multi_batch/batch_1/circle_half_quarter/sample_0125/iteration_00150.png,0.1168810525344283,0.1168810525344735,0.481877,1.6298060831503416,True,0.6117,4.340003,1.506448,0.238072,0.372412,1,True,False,0.413330078125,150,150,True,0.38154471377281685,True
1,circle_half_quarter,126,outputs/multi_batch/batch_1/circle_half_quarter/sample_0126/iteration_00150.png,0.1125371941052227,0.1125371941052679,0.487117,1.5857004851800354,True,0.655001,2.930147,1.923932,0.184236,0.403029,1,True,False,0.37158203125,150,150,True,0.7688743377291657,True
1,circle_half_quarter,128,outputs/multi_batch/batch_1/circle_half_quarter/sample_0128/iteration_00150.png,-0.1947854790210743,-0.1947854790212292,0.491364,1.1450204373697734,True,0.691116,2.021794,1.778617,0.081655,0.387843,3,False,False,0.492919921875,150,150,True,0.005826122827299145,False
1,circle_half_quarter,129,outputs/multi_batch/batch_1/circle_half_quarter/sample_0129/iteration_00150.png,0.2354989737973773,0.2354989737977246,0.297975,1.9422572907065565,True,0.487733,4.762593,1.31079,0.18948,0.541224,5,False,False,0.282958984375,150,150,True,0.05343782399350963,False
1,circle_half_quarter,131,outputs/multi_batch/batch_1/circle_half_quarter/sample_0131/iteration_00150.png,0.0373616847253627,0.0373616847253777,0.421936,1.4136663459334984,True,0.577533,3.607543,1.463678,0.140567,0.436625,9,False,False,0.3369140625,150,150,True,0.46310707811263685,True
1,circle_half_quarter,133,outputs/multi_batch/batch_1/circle_half_quarter/sample_0133/iteration_00150.png,0.1501914367861987,0.1501914367862599,0.537625,1.5706554713468672,True,0.543958,4.164428,2.119205,0.218407,0.288737,5,False,False,0.51220703125,150,150,True,0.6610872033159965,True
1,circle_half_quarter,134,outputs/multi_batch/batch_1/circle_half_quarter/sample_0134/iteration_00150.png,0.1665130667573044,0.1665130667574017,0.31422,1.749505176951029,True,0.469811,2.565608,1.684149,0.160078,0.488984,5,False,False,0.29296875,150,150,True,0.4107879786571873,True
1,circle_half_quarter,138,outputs/multi_batch/batch_1/circle_half_quarter/sample_0138/iteration_00150.png,0.0281908698697671,0.028190869869826,0.153984,1.965382814782126,True,0.683745,3.063971,1.402584,0.222612,0.52318,16,False,False,0.14306640625,150,150,True,0.2141535261459401,True
1,circle_half_quarter,141,outputs/multi_batch/batch_1/circle_half_quarter/sample_0141/iteration_00150.png,0.0156551026919184,0.0156551026919353,0.212236,1.8688424078919328,True,0.666495,3.514141,1.032165,0.22705,0.505986,1,True,False,0.21826171875,150,150,True,1.3639609707662637,True
1,circle_half_quarter,142,outputs/multi_batch/batch_1/circle_half_quarter/sample_0142/iteration_00150.png,0.1355238847947208,0.135523884794764,0.558159,1.454372522009676,True,0.615832,2.114518,2.211367,0.195282,0.306918,1,True,False,0.4931640625,150,150,True,0.3387008359599836,True
1,circle_half_quarter,143,outputs/multi_batch/batch_1/circle_half_quarter/sample_0143/iteration_00150.png,0.0793684380488876,0.0793684380489283,0.391733,1.6785181536604248,True,0.568697,4.667685,1.746103,0.078107,0.472305,5,False,False,0.35791015625,150,150,True,0.06489050479756336,False
1,circle_half_quarter,144,outputs/multi_batch/batch_1/circle_half_quarter/sample_0144/iteration_00150.png,0.0809756658930755,0.0809756658931283,0.323096,1.768128468329563,True,0.589417,2.835275,2.26526,0.095803,0.483956,5,False,False,0.30859375,150,150,True,0.18496331785197875,True
1,circle_half_quarter,146,outputs/multi_batch/batch_1/circle_half_quarter/sample_0146/iteration_00150.png,0.1204279812530272,0.1204279812530695,0.396036,1.4680762353722785,True,0.491962,2.443403,2.018638,0.246696,0.437968,1,True,False,0.329833984375,150,150,True,0.2935068491857001,True
1,circle_half_quarter,149,outputs/multi_batch/batch_1/circle_half_quarter/sample_0149/iteration_00150.png,0.0972039955683567,0.0972039955683904,0.473228,1.313985723311606,True,0.473507,4.978412,2.383192,0.204431,0.422313,1,True,False,0.47998046875,150,150,True,0.4047210930995641,True
1,circle_half_quarter,150,outputs/multi_batch/batch_1/circle_half_quarter/sample_0150/iteration_00150.png,0.0704586008518133,0.0704586008518373,0.540072,1.2790360557045577,True,0.555885,3.392754,1.233292,0.17403,0.392871,1,True,False,0.42529296875,150,150,True,0.19573199772619018,True
1,circle_half_quarter,151,outputs/multi_batch/batch_1/circle_half_quarter/sample_0151/iteration_00150.png,0.0507478635525952,0.0507478635526758,0.199248,1.9633189151050825,True,0.633751,3.836592,1.880197,0.053754,0.536854,1,True,False,0.2001953125,150,150,True,0.38061392310434844,True
1,circle_half_quarter,153,outputs/multi_batch/batch_1/circle_half_quarter/sample_0153/iteration_00150.png,0.0904006085476452,0.0904006085476793,0.60976,1.4922637354177777,True,0.657404,4.852111,1.433265,0.171215,0.313255,1,True,False,0.53662109375,150,150,True,0.5320999253209994,True
1,circle_half_quarter,154,outputs/multi_batch/batch_1/circle_half_quarter/sample_0154/iteration_00150.png,0.1182183178474036,0.1182183178474891,0.188758,1.934712720166928,True,0.606368,3.448002,1.762852,0.200239,0.511451,1,True,False,0.19677734375,150,150,True,1.7029686056172881,True
1,circle_half_quarter,155,outputs/multi_batch/batch_1/circle_half_quarter/sample_0155/iteration_00150.png,0.0591772032728576,0.0591772032726819,0.539428,1.1364899373515722,True,0.559721,3.710285,1.303803,0.120515,0.34635,1,True,False,0.576171875,150,150,True,0.29854670888939155,True
1,circle_half_quarter,157,outputs/multi_batch/batch_1/circle_half_quarter/sample_0157/iteration_00150.png,0.009464381832141,0.0094643818321702,0.135476,1.9899044210070649,True,0.593512,3.880045,2.148299,0.248538,0.527107,16,False,False,0.09521484375,150,150,True,1.6052140121861498,True
1,circle_half_quarter,158,outputs/multi_batch/batch_1/circle_half_quarter/sample_0158/iteration_00150.png,0.0932160684526435,0.0932160684526834,0.5505,1.4534667101102894,True,0.675143,2.476049,1.048198,0.17913,0.257718,1,True,False,0.55517578125,150,150,True,0.2849627516030236,True
1,circle_half_quarter,160,outputs/multi_batch/batch_1/circle_half_quarter/sample_0160/iteration_00150.png,-0.1162579472519043,-0.1162579472521582,0.308579,1.836364605912179,True,0.638993,3.196595,1.102279,0.079784,0.533171,6,False,False,0.30810546875,150,150,True,0.10505902601022965,False
1,circle_half_quarter,161,outputs/multi_batch/batch_1/circle_half_quarter/sample_0161/iteration_00150.png,0.1122917734755686,0.1122917734756104,0.459312,1.3407236927553647,True,0.467346,3.646385,1.941082,0.196935,0.395904,1,True,False,0.46533203125,150,150,True,0.16911898448194984,True
1,circle_half_quarter,162,outputs/multi_batch/batch_1/circle_half_quarter/sample_0162/iteration_00150.png,0.1296220501981796,0.1296220501982278,0.396961,1.512705726572677,True,0.54935,2.053311,1.629067,0.230842,0.426228,1,True,False,0.29833984375,150,150,True,0.7024868622501759,True
1,circle_half_quarter,163,outputs/multi_batch/batch_1/circle_half_quarter/sample_0163/iteration_00150.png,0.143466406063974,0.1434664060641027,0.627281,1.577043974090195,True,0.627706,4.799923,2.281476,0.148018,0.281949,1,True,False,0.704345703125,150,150,True,0.18150793530948464,True
1,circle_half_quarter,165,outputs/multi_batch/batch_1/circle_half_quarter/sample_0165/iteration_00150.png,0.0926757308816409,0.0926757308816834,0.435992,1.431492141707397,True,0.535289,4.618532,1.249486,0.219595,0.443421,1,True,False,0.44677734375,150,150,True,0.5778364842180577,True
1,circle_half_quarter,168,outputs/multi_batch/batch_1/circle_half_quarter/sample_0168/iteration_00150.png,-0.3404931854081689,-0.3378773176667244,0.570199,0.6304020668758449,True,0.571101,3.120344,2.00221,0.064892,0.262729,2,False,False,0.569091796875,150,150,True,2.635520669065355e-05,False
1,circle_half_quarter,169,outputs/multi_batch/batch_1/circle_half_quarter/sample_0169/iteration_00150.png,0.0623522711908317,0.0623522711908553,0.525468,1.4137098134103674,True,0.618234,4.132612,1.15756,0.157043,0.409368,1,True,False,0.6650390625,150,150,True,0.5745258003230754,True
1,circle_half_quarter,170,outputs/multi_batch/batch_1/circle_half_quarter/sample_0170/iteration_00150.png,0.1255021717112732,0.1255021717113203,0.474735,1.630595689382493,True,0.661161,2.715341,2.225428,0.214386,0.377874,1,True,False,0.42138671875,150,150,True,0.18730088744223847,True
1,circle_half_quarter,171,outputs/multi_batch/batch_1/circle_half_quarter/sample_0171/iteration_00150.png,0.2140152001346617,0.2140152001347986,0.32195,1.8508622027399808,True,0.458297,4.524432,1.567148,0.106562,0.512776,5,False,False,0.296630859375,150,150,True,0.06525262761050139,False
1,circle_half_quarter,173,outputs/multi_batch/batch_1/circle_half_quarter/sample_0173/iteration_00150.png,-0.120388219154582,-0.1203882191546704,0.623736,1.1139251088318836,True,0.679311,4.706527,1.849144,0.234389,0.360682,1,True,False,0.640380859375,150,150,True,0.2371384796357748,True
1,circle_half_quarter,174,outputs/multi_batch/batch_1/circle_half_quarter/sample_0174/iteration_00150.png,0.0434441253247688,0.0434441253247924,0.33486,1.589479588330575,True,0.604967,3.289326,1.5342,0.193303,0.461607,1,True,False,0.3369140625,150,150,True,0.36487219815494415,True
1,circle_half_quarter,177,outputs/multi_batch/batch_1/circle_half_quarter/sample_0177/iteration_00150.png,0.0860133347578744,0.0860133347579468,0.386413,1.828427024925588,True,0.553421,4.377767,2.427083,0.186108,0.492016,1,True,False,0.39453125,150,150,True,0.6366976508109664,True
1,circle_half_quarter,179,outputs/multi_batch/batch_1/circle_half_quarter/sample_0179/iteration_00150.png,0.0644498204875993,0.0644498204876339,0.353354,1.630142970394228,True,0.651035,3.974223,1.806552,0.136969,0.448373,1,True,False,0.3603515625,150,150,True,0.2513070996147495,True
1,circle_half_quarter,180,outputs/multi_batch/batch_1/circle_half_quarter/sample_0180/iteration_00150.png,0.0641410686853744,0.0641410686854006,0.453384,1.5336809185110456,True,0.69923,3.353958,2.174407,0.113466,0.430666,1,True,False,0.406005859375,150,150,True,0.33893896701643433,True
1,circle_half_quarter,182,outputs/multi_batch/batch_1/circle_half_quarter/sample_0182/iteration_00150.png,0.111054554305264,0.1110545543054167,0.136414,1.965656918528416,True,0.538918,2.200374,2.044578,0.162773,0.547552,16,False,False,0.1005859375,150,150,True,1.5654511900216372,True
1,circle_half_quarter,183,outputs/multi_batch/batch_1/circle_half_quarter/sample_0183/iteration_00150.png,-0.3418104541846295,-0.2923272643789405,0.334659,1.5436628909957848,True,0.586021,4.946941,1.021572,0.058073,0.382184,7,False,False,0.33203125,150,150,True,0.034937975934275486,False
1,circle_half_quarter,184,outputs/multi_batch/batch_1/circle_half_quarter/sample_0184/iteration_00150.png,0.0554749849813726,0.0554749849814124,0.328639,1.7826871920038476,True,0.659674,2.495126,2.106629,0.057267,0.489555,3,False,False,0.32470703125,150,150,True,0.0005841586787393722,False
1,circle_half_quarter,186,outputs/multi_batch/batch_1/circle_half_quarter/sample_0186/iteration_00150.png,0.0508064568853247,0.0508064568853468,0.327433,1.548487565580872,True,0.561877,2.853305,2.165779,0.206374,0.451167,1,True,False,0.3232421875,150,150,True,0.41485821814593565,True
1,circle_half_quarter,189,outputs/multi_batch/batch_1/circle_half_quarter/sample_0189/iteration_00150.png,0.0533576810791396,0.0533576810791615,0.426593,1.4034634644941997,True,0.512888,3.724791,1.792429,0.242401,0.42903,1,True,False,0.3466796875,150,150,True,0.9214147527159086,True
1,circle_half_quarter,191,outputs/multi_batch/batch_1/circle_half_quarter/sample_0191/iteration_00150.png,0.0936938825635423,0.0936938825636937,0.10981,1.9988231275812367,True,0.673018,4.832919,2.482907,0.093078,0.548863,16,False,False,0.04296875,150,150,True,1.5712022929551968,True
1,circle_half_quarter,194,outputs/multi_batch/batch_1/circle_half_quarter/sample_0194/iteration_00150.png,0.1018942313898662,0.1018942313899544,0.257423,1.884532616836121,True,0.628883,2.65388,1.27888,0.236806,0.515809,5,False,False,0.248291015625,150,150,True,0.6179356476537787,True
1,circle_half_quarter,196,outputs/multi_batch/batch_1/circle_half_quarter/sample_0196/iteration_00150.png,0.0819219791674388,0.0819219791674679,0.483348,1.2147872687500083,True,0.533509,2.074148,2.31087,0.108979,0.358527,1,True,False,0.427734375,150,150,True,0.28569951882077504,True
1,circle_half_quarter,197,outputs/multi_batch/batch_1/circle_half_quarter/sample_0197/iteration_00150.png,0.0844840920206945,0.0844840920207704,0.325367,1.8730666213578813,True,0.580642,4.767919,1.646365,0.213629,0.495795,1,True,False,0.29736328125,150,150,True,0.2343762102208475,True
1,circle_half_quarter,198,outputs/multi_batch/batch_1/circle_half_quarter/sample_0198/iteration_00150.png,0.0995815587352613,0.0995815587353005,0.624166,1.4242434594067284,True,0.686054,3.180817,1.970098,0.157897,0.319572,1,True,False,0.79052734375,150,150,True,0.37062351956821477,True
1,circle_half_quarter,200,outputs/multi_batch/batch_1/circle_half_quarter/sample_0200/iteration_00150.png,0.0713387997190419,0.071338799719072,0.533802,1.3575818118579708,True,0.620475,3.275644,2.405131,0.071415,0.398169,1,True,False,0.49658203125,150,150,True,0.20019779686635022,True
1,circle_half_quarter,201,outputs/multi_batch/batch_1/circle_half_quarter/sample_0201/iteration_00150.png,0.0981141186923573,0.098114118692469,0.226731,1.956464572320624,True,0.573858,3.578882,1.551692,0.15109,0.535119,7,False,False,0.217529296875,150,150,True,0.043471761910407275,False
1,circle_half_quarter,202,outputs/multi_batch/batch_1/circle_half_quarter/sample_0202/iteration_00150.png,0.0969947787181892,0.0969947787188607,0.455939,1.1557126181692523,True,0.46042,2.16747,1.878355,0.220352,0.280093,13,False,False,0.4638671875,150,150,True,0.33370175140282266,True
1,circle_half_quarter,203,outputs/multi_batch/batch_1/circle_half_quarter/sample_0203/iteration_00150.png,0.020989169615444,0.0209891696154556,0.513196,1.4071939386509316,True,0.663806,4.673873,1.211286,0.100003,0.424093,1,True,False,0.530517578125,150,150,True,0.6369659721181233,True
1,circle_half_quarter,204,outputs/multi_batch/batch_1/circle_half_quarter/sample_0204/iteration_00150.png,0.063201395746218,0.063201395746247,0.397787,1.5740653066540302,True,0.676585,2.748055,1.596359,0.148775,0.446743,1,True,False,0.350830078125,150,150,True,0.36611568725007815,True
1,circle_half_quarter,205,outputs/multi_batch/batch_1/circle_half_quarter/sample_0205/iteration_00150.png,0.1248085301310013,0.1248085301310518,0.501557,1.4393664168733773,True,0.504937,4.504348,2.243275,0.228425,0.300107,1,True,False,0.49755859375,150,150,True,0.44518408023050726,True
1,circle_half_quarter,206,outputs/multi_batch/batch_1/circle_half_quarter/sample_0206/iteration_00150.png,0.0466574108354752,0.0466574108354966,0.297285,1.4898730759253302,True,0.524457,3.093006,1.187126,0.199254,0.475151,1,True,False,0.29296875,150,150,True,0.3848506672315188,True
1,circle_half_quarter,209,outputs/multi_batch/batch_1/circle_half_quarter/sample_0209/iteration_00150.png,0.0666533531007239,0.0666533531007664,0.398718,1.768996551208482,True,0.633068,4.925646,2.073961,0.179935,0.468217,5,False,False,0.389404296875,150,150,True,0.47956265486029553,True
