seed,objective,batch_id
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hexagonal,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
hourglass,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
square,auxetic,2
