sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta_second,error
24,True,3.127598270878096e-25,3.1275982708688905e-25,-344.0834012964998,14,True,5.52,0.525463,1.963768,3.770908,0.127425,0.457440,5.515122,1.573416,
25,True,3.127598270878096e-25,3.1275982708688905e-25,-485.34970511288554,14,True,5.42,0.599641,3.445192,3.800762,0.135542,0.442514,14.596574,1.704262,
26,True,3.127598270878096e-25,3.1275982708688905e-25,-594.6743924331706,20,True,7.81,0.555849,4.974726,4.222799,0.071692,0.326263,75.429960,2.430128,
27,True,3.127598270878096e-25,3.1275982708688905e-25,-140.59831853716076,11,True,4.08,0.445900,1.725055,2.675903,0.239386,0.261689,60.924088,0.892829,
28,True,3.127598270878096e-25,3.1275982708688905e-25,-540.7111973914162,13,True,4.91,0.547205,4.450035,2.380357,0.143448,0.372226,86.450712,2.279970,
29,True,3.127598270878096e-25,3.1275982708688905e-25,-270.48552010003647,11,True,4.35,0.430849,1.158885,2.177034,0.229341,0.403223,48.380701,1.839747,
30,True,3.127598270878096e-25,3.1275982708688905e-25,-304.35981880940204,23,True,9.06,0.562446,3.673511,5.180022,0.060979,0.422846,54.469829,1.214758,
31,True,3.127598270878096e-25,3.1275982708688905e-25,-367.4160216311039,13,True,4.27,0.479010,3.245795,3.260242,0.153495,0.595114,20.406844,2.021775,
32,True,3.127598270878096e-25,3.1275982708688905e-25,-211.95733411038333,16,True,6.55,0.485708,2.286015,5.997514,0.102224,0.343660,8.809385,1.134386,
33,True,3.127598270878096e-25,3.1275982708688905e-25,-59.92569914671693,11,True,3.70,0.276647,3.562701,1.140396,0.230335,0.601956,24.358713,0.988609,
34,True,3.127598270878096e-25,3.1275982708688905e-25,-44.238633565747136,11,True,4.65,0.271857,2.671268,5.017057,0.201016,0.207674,51.244615,0.755759,
35,True,3.127598270878096e-25,3.1275982708688905e-25,-499.2175125985161,11,True,4.16,0.537058,4.711751,1.358743,0.243129,0.625741,61.826524,2.185300,
36,True,3.127598270878096e-25,3.1275982708688905e-25,-93.65856099778865,10,True,4.38,0.380369,2.420173,5.776334,0.271270,0.481834,30.410499,0.817338,
37,True,3.127598270878096e-25,3.1275982708688905e-25,-68.6625137071254,12,True,4.64,0.251245,4.588306,2.917534,0.188448,0.258561,12.742253,1.373379,
38,True,3.127598270878096e-25,3.1275982708688905e-25,-112.41989479893671,11,True,4.38,0.325722,1.627711,3.088451,0.219894,0.529446,86.085645,1.337865,
39,True,3.127598270878096e-25,3.1275982708688905e-25,-236.44561818646463,13,True,4.56,0.451271,2.865543,4.160637,0.158410,0.304955,65.024991,1.465955,
40,True,3.127598270878096e-25,3.1275982708688905e-25,-152.16311102587994,14,True,5.69,0.311652,2.745480,4.376326,0.123753,0.364288,83.850728,1.978030,
41,True,3.127598270878096e-25,3.1275982708688905e-25,-137.0215311936642,15,True,3.32,0.421011,1.278100,2.489833,0.110833,0.549480,63.135285,0.976035,
42,True,3.127598270878096e-25,3.1275982708688905e-25,-49.441261455985575,10,True,3.99,0.337251,4.207788,3.102043,0.265990,0.562205,56.443530,0.548840,
43,True,3.127598270878096e-25,3.1275982708688905e-25,-66.17793763980688,20,True,4.71,0.374924,1.837115,3.948578,0.075712,0.225372,31.706839,0.594417,
44,True,3.127598270878096e-25,3.1275982708688905e-25,-166.4474613806115,12,True,3.68,0.333868,1.068819,1.852212,0.177916,0.667674,10.138479,1.885344,
