sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,move,nelx,nely,nu,penal,rmin,save_every,scale_factor,tol_change,tol_obj,verbose,void_size_frac,volfrac,window_size
33,hexagonal,auxetic,True,-0.3758450771754922,-0.6593744895446362,0.26135829791532483,150,True,21.45,,199.0,1e-09,2,150,0.128745,50,50,0.3,3.186018,1.140881,9999,1,0.01,0.05,False,0.346356,0.504083,20
34,hexagonal,auxetic,True,-0.3940750015164963,-0.41915155933400816,0.446872705016343,150,True,19.86,,199.0,1e-09,2,150,0.090011,50,50,0.3,2.698354,1.158223,9999,1,0.01,0.05,False,0.366281,0.572213,20
35,hexagonal,auxetic,True,-0.14960779900327467,-0.16237938132814317,0.5906779166619693,150,True,19.88,,199.0,1e-09,2,150,0.11168,50,50,0.3,3.544817,1.08628,9999,1,0.01,0.05,False,0.3048,0.552224,20
36,hexagonal,auxetic,True,-0.03808546696516347,-0.1821524615571417,0.7809631570418837,150,True,21.37,,199.0,1e-09,2,150,0.075752,50,50,0.3,2.629803,1.165494,9999,1,0.01,0.05,False,0.296196,0.568379,20
37,hexagonal,auxetic,True,-0.2792668984134866,-0.8027690547274703,0.24402823903825388,150,True,21.84,,199.0,1e-09,2,150,0.114318,50,50,0.3,2.910363,1.097512,9999,1,0.01,0.05,False,0.328662,0.57961,20
38,hexagonal,auxetic,True,-0.5061055832628463,-0.39301673438196666,0.3713818641142963,150,True,22.33,,199.0,1e-09,2,150,0.097217,50,50,0.3,2.876966,1.15138,9999,1,0.01,0.05,False,0.379236,0.53457,20
39,hexagonal,auxetic,True,-0.3394722093222796,-0.5372344812551906,0.2446104474690911,150,True,22.5,,199.0,1e-09,2,150,0.121354,50,50,0.3,3.071442,1.071071,9999,1,0.01,0.05,False,0.333285,0.52269,20
40,hexagonal,auxetic,True,-0.07835095036276667,-0.20568076187087722,0.671510943065246,150,True,22.18,,199.0,1e-09,2,150,0.087608,50,50,0.3,3.122159,1.20167,9999,1,0.01,0.05,False,0.286723,0.56332,20
41,hexagonal,auxetic,True,-0.13537555140464194,-0.5618978184803177,0.5125071487454231,150,True,21.65,,199.0,1e-09,2,150,0.097965,50,50,0.3,2.765608,1.204515,9999,1,0.01,0.05,False,0.344725,0.545636,20
42,hexagonal,auxetic,True,-0.13836193030062943,-1.2946628853354845,0.44458497609044356,150,True,21.87,,199.0,1e-09,2,150,0.137895,50,50,0.3,3.109189,1.105726,9999,1,0.01,0.05,False,0.325361,0.555942,20
43,hexagonal,auxetic,True,-0.4286031794935275,-0.4234445478607684,0.014458806011935943,41,True,5.78,,199.0,1e-09,2,150,0.142956,50,50,0.3,3.313237,1.057637,9999,1,0.01,0.05,False,0.311438,0.516068,20
44,hexagonal,auxetic,True,-0.4622684306323347,-0.6703823379693022,-0.08112734637185126,79,True,10.93,,199.0,1e-09,2,150,0.08539,50,50,0.3,3.24624,1.09449,9999,1,0.01,0.05,False,0.29326,0.54057,20
45,hexagonal,auxetic,True,-0.5222913238535533,-0.5972010441271882,0.07620088400972491,110,True,16.18,,199.0,1e-09,2,150,0.100722,50,50,0.3,3.019597,1.239553,9999,1,0.01,0.05,False,0.31863,0.559482,20
