sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
35,True,0.09309406399661375,0.09309406399661276,50.678335295715165,51,True,18.56,0.458446,3.833511,4.180022,0.260979,0.632846,7.669829,
36,True,0.29999999999007054,0.29999999999007176,8.28567692085936,109,True,37.70,0.294952,2.350100,4.307244,0.128012,0.566991,40.520549,
37,True,0.29999999999400107,0.29999999999400023,15.154651965373485,73,True,18.28,0.346697,4.443550,4.071355,0.210376,0.629751,27.800644,
38,True,0.37363785442473,0.3777262230090741,26.682695808033664,150,True,47.85,0.474928,1.071528,5.185966,0.142904,0.320338,65.527123,
39,True,0.18948337620042363,0.18948337620051753,37.608232586300296,46,True,8.54,0.368536,3.415651,5.353262,0.196076,0.459822,5.203541,
40,True,0.15686342579882687,0.1532915159567839,79.93993742037182,150,True,44.21,0.569365,1.416255,2.576736,0.112346,0.583940,36.238070,
41,True,0.14984340364054868,0.14984340364055077,62.27672753755739,30,True,5.50,0.515175,2.566994,1.862582,0.287871,0.333481,18.238517,
42,True,0.18443128874808304,0.1844312887480882,32.086715293859285,31,True,10.99,0.396369,2.420173,2.376334,0.201270,0.341834,86.210499,
43,True,0.11527393738517135,0.11527393738517687,28.987447200428747,22,True,7.30,0.407468,3.032445,1.285383,0.250877,0.426897,87.941031,
44,True,0.20852051034076086,0.20852051034075564,87.66970743832512,44,True,15.12,0.536632,2.826757,4.771528,0.099232,0.268845,80.961934,
45,True,0.2686520874245159,0.26865208742449875,77.66109840166685,54,True,17.87,0.487557,4.266029,4.594662,0.102044,0.213193,64.091465,
46,True,0.056418259623377265,0.056418259623516195,79.32907582224229,80,True,24.63,0.581456,3.279638,2.612500,0.055744,0.539565,55.473303,
47,True,0.08232575089028227,0.08232575089031333,52.35196869134229,26,True,7.47,0.502106,3.140049,1.942877,0.292919,0.679507,60.527495,
48,True,0.16417257958448114,0.16417257958320675,42.773929686293066,83,True,26.91,0.411810,2.751866,5.916654,0.134740,0.650752,46.621596,
49,True,0.11338815427073412,0.11338815427072742,31.34992698991661,26,True,5.51,0.385251,2.607788,3.802043,0.240990,0.552205,49.243530,
