sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
16,True,0.10283105893258887,0.10296098533511101,4.457317586782183,197,True,620.29,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.1748545717659993,0.17485457176621363,4.292874182419672,22,True,60.79,0.699550,4.896658,1.916144,0.125355,0.540994,
18,True,0.13023456927543042,0.13020149275480047,4.3716511891132335,96,True,284.50,0.639238,4.778221,2.186615,0.196476,0.416191,
19,True,0.13562669526901922,0.13557648169278566,4.1201873437394125,76,True,223.82,0.646849,2.458291,1.117371,0.153528,0.436229,
20,True,0.12489614411368276,0.1253845343371489,4.300583082594862,200,True,619.14,0.560457,2.678018,1.502024,0.230123,0.383327,
21,True,0.15132568602034566,0.15132568602046118,4.191906026205571,32,True,98.03,0.671416,4.853038,1.021833,0.209614,0.484584,
22,True,0.1262849149065888,0.12627825560290415,4.42962078017169,95,True,289.80,0.582721,3.847858,2.220821,0.099683,0.398939,
23,True,0.13983113065743116,0.1398311289375627,4.372187944750152,118,True,359.15,0.605717,4.654489,1.578416,0.248272,0.360236,
24,True,0.11907214899953736,0.11916744717144998,4.364347192430296,200,True,611.21,0.542080,3.341009,1.537467,0.144337,0.345750,
25,True,0.13708706808018853,0.13708706808217316,4.2675857563410995,109,True,290.91,0.652530,4.980208,1.775664,0.061586,0.498474,
26,True,0.13577576363763608,0.13577576681549017,4.3952193107558495,36,True,105.69,0.629147,3.384493,1.672568,0.072613,0.324455,
27,True,0.10364335285505429,0.10313811161408279,4.445434429788966,200,True,605.85,0.469886,3.082486,2.035531,0.234869,0.465504,
28,True,0.10920487780451027,0.10905777513627686,4.477892557949546,170,True,519.48,0.507567,4.070558,2.081865,0.063713,0.301159,
29,True,0.0988935534499463,0.09889355360616064,4.585602536912864,93,True,266.34,0.498665,4.320106,2.394380,0.116244,0.309870,
30,True,0.1187410066078747,0.11874100654018573,4.323358239786266,49,True,142.27,0.600869,4.526230,1.805793,0.199784,0.525349,
31,True,0.11578651284413646,0.11603163291798846,4.422328211200313,200,True,553.53,0.516639,2.883126,1.640217,0.179092,0.257388,
32,True,0.1564834632646946,0.15648280427339512,4.208080708194268,30,True,91.40,0.689461,2.305039,2.073094,0.165850,0.450671,
33,True,0.1079768032242111,0.10797679850357793,4.423992097908611,35,True,103.19,0.463145,3.990213,1.035752,0.136731,0.346283,
34,True,0.10701856812915149,0.10695887442732563,4.2947424910125935,200,True,565.60,0.453545,2.269097,1.262321,0.202256,0.447012,
35,True,0.13050420260225284,0.1304435861286738,4.206840403201678,200,True,314.10,0.569775,2.213894,1.600229,0.210433,0.455508,
36,True,0.13800471376663037,0.13800476411691553,4.31310678490037,40,True,119.39,0.675546,3.206393,2.304434,0.184736,0.371368,
37,True,0.14235339161754795,0.14235339161763158,4.151180025796807,22,True,64.04,0.641692,3.297581,1.147166,0.187013,0.548425,
38,True,0.11659802449712117,0.11665617711289937,4.398436389072918,200,True,510.78,0.535316,3.065542,1.746317,0.086676,0.357080,
39,True,0.14831797939300395,0.14831797935325383,4.1575039218486145,42,True,79.13,0.664104,2.804037,1.183763,0.085214,0.536138,
40,True,0.14446562232098922,0.14492891589433624,4.297722572743159,200,True,496.13,0.656113,2.901690,2.244978,0.245424,0.297916,
41,True,0.1136193699370821,0.11353296308856956,4.342280433520198,68,True,117.73,0.478852,3.012091,1.159670,0.141513,0.390962,
42,True,0.12875810211296454,0.1287493353583814,4.409760977973891,159,True,382.61,0.556529,4.125133,1.834007,0.074784,0.377708,
43,True,0.11344928912131608,0.1134488927545391,4.532316008835023,45,True,88.46,0.616305,4.392137,1.566287,0.110290,0.271615,
44,True,0.11868463459784596,0.11879417996537968,4.3991182517983205,167,True,399.04,0.523495,3.530685,1.940114,0.174178,0.494281,
45,True,0.09450941070878138,0.09450941069467368,4.638892773029976,39,True,66.35,0.490376,4.458508,2.483344,0.223464,0.315365,
46,True,0.13097233392667298,0.13079867595037664,4.451712460184643,200,True,436.16,0.589298,3.594853,1.841013,0.103616,0.250402,
47,True,0.15889094363452036,0.15885732989967644,4.240067556220403,200,True,229.02,0.680978,2.631957,2.416457,0.161929,0.531345,
48,True,0.13855193050172637,0.13934316464686416,4.2898222953198655,145,True,326.65,0.620853,2.132191,2.013021,0.119877,0.330364,
49,True,0.10950898080166262,0.10950898080162771,4.2868771930250915,28,True,55.51,0.480661,3.943814,1.077623,0.240503,0.277445,
