sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
22,True,0.14668616058858025,0.1466538527319072,4.206380662675876,183,True,552.16,0.582721,3.847858,2.220821,0.099683,0.398939,
23,True,0.1521175183487985,0.15217580309351203,4.205446675761554,67,True,210.67,0.605717,4.654489,1.578416,0.248272,0.360236,
24,True,0.13772184821072772,0.13724369996968627,4.175426518345227,51,True,155.56,0.542080,3.341009,1.537467,0.144337,0.345750,
25,True,0.1617961737828201,0.14763592871085787,4.383731921549113,200,True,657.02,0.652530,4.980208,1.775664,0.061586,0.498474,
26,True,0.169138541465182,0.16526286489911426,4.3730234995840505,94,True,287.77,0.629147,3.384493,1.672568,0.072613,0.324455,
27,True,0.11785028159493123,0.11713291139473542,4.19240660415439,101,True,322.08,0.469886,3.082486,2.035531,0.234869,0.465504,
28,True,0.12766073435576422,0.12761158000989895,4.203330051012333,149,True,448.95,0.507567,4.070558,2.081865,0.063713,0.301159,
29,True,0.12107490796377966,0.12088453778084786,4.229941290003504,101,True,313.94,0.498665,4.320106,2.394380,0.116244,0.309870,
30,True,0.1455257642024928,0.14516697633011255,4.201643292349687,61,True,191.78,0.600869,4.526230,1.805793,0.199784,0.525349,
31,True,0.09455879615617174,0.09463759429328714,4.295537890469774,200,True,560.96,0.516639,2.883126,1.640217,0.179092,0.257388,
32,True,0.15407791460301568,0.15446221760032022,4.185616150987208,184,True,562.51,0.689461,2.305039,2.073094,0.165850,0.450671,
33,True,0.11664797228689996,0.1166479722905321,4.131857857139159,31,True,76.42,0.463145,3.990213,1.035752,0.136731,0.346283,
34,True,0.5206942873300451,0.5247348276041782,5.1604568797919805,200,True,574.77,0.453545,2.269097,1.262321,0.202256,0.447012,
35,True,0.14161243513168376,0.14176972045109457,4.172151770460262,121,True,202.85,0.569775,2.213894,1.600229,0.210433,0.455508,
36,True,0.1646805176806003,0.16444483397554419,4.220115951206651,65,True,204.09,0.675546,3.206393,2.304434,0.184736,0.371368,
37,True,0.1494131688942818,0.1502623636060765,4.300678262279111,200,True,482.03,0.641692,3.297581,1.147166,0.187013,0.548425,
38,True,0.13785959529234343,0.13831052924296058,4.178771730781459,64,True,195.62,0.535316,3.065542,1.746317,0.086676,0.357080,
39,True,0.1529783964148497,0.1451273847443664,4.343549241778364,200,True,440.75,0.664104,2.804037,1.183763,0.085214,0.536138,
40,True,0.1606110423290542,0.1607292999712327,4.2097951820322965,76,True,225.92,0.656113,2.901690,2.244978,0.245424,0.297916,
41,True,0.11880597236690686,0.1188175933981443,4.143913767016316,69,True,165.59,0.478852,3.012091,1.159670,0.141513,0.390962,
42,True,0.13797269424167236,0.13823487269338644,4.190933411284606,72,True,214.85,0.556529,4.125133,1.834007,0.074784,0.377708,
43,True,0.14769876033427484,0.15107611150507214,4.22301367349692,200,True,362.33,0.616305,4.392137,1.566287,0.110290,0.271615,
44,True,0.1322336163000679,0.13236540309872852,4.189863668328038,122,True,320.70,0.523495,3.530685,1.940114,0.174178,0.494281,
45,True,0.12086320349988156,0.12118906184457434,4.242642055943595,60,True,109.71,0.490376,4.458508,2.483344,0.223464,0.315365,
46,True,0.15379558626047055,0.1536274384374928,4.200869777595558,155,True,382.54,0.589298,3.594853,1.841013,0.103616,0.250402,
47,True,0.16637485156809056,0.16633527943527135,4.220569198348692,99,True,152.72,0.680978,2.631957,2.416457,0.161929,0.531345,
48,True,0.2025649034221956,0.17694690586756243,4.550598172296603,162,True,376.42,0.620853,2.132191,2.013021,0.119877,0.330364,
49,True,0.12256447588340645,0.12256447656404451,4.157897328660234,62,True,97.41,0.480661,3.943814,1.077623,0.240503,0.277445,
