seed,obj,v12,v21,obj_val,success,n_iters,converged,elapsed,volfrac,penal,rmin,move,void_size_frac,rotation_deg,v12_clipped,f_proxy
circle_half_quarter,auxetic,0.1496477693660185,0.1495202136767093,64.12777740276691,True,150,True,33.28,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.1496477693660185,2.2792981402473265
circle,auxetic,0.1496477693660185,0.1495202136767093,64.12777740276691,True,150,True,33.81,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.1496477693660185,2.2792981402473265
grid_circular_voids,auxetic,0.1673514745543056,0.1673605716177509,77.12716419800915,True,150,True,49.82,0.581456,3.279638,2.6125,0.055744,0.539565,55.473303,0.1673514745543056,2.372701847201676
nine_circle,auxetic,0.1673514745543056,0.1673605716177509,77.12716419800915,True,150,True,47.46,0.581456,3.279638,2.6125,0.055744,0.539565,55.473303,0.1673514745543056,2.372701847201676
cross_rectangular,auxetic,0.1766386521402595,0.176638652874565,101.57232406558651,True,41,True,14.79,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.1766386521402595,2.4894330770504447
circle_half_quarter,auxetic,0.1859029301107453,0.1859029301107483,102.83071048162635,True,36,True,12.99,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.1859029301107453,2.553881264663636
circle,auxetic,0.1859029301107453,0.1859029301107483,102.83071048162635,True,36,True,13.43,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.1859029301107453,2.553881264663636
hourglass,auxetic,0.1879581353255271,0.1880436598927849,102.25798405285158,True,58,True,21.31,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.1879581353255271,2.5679593729349053
hexagonal,auxetic,0.1944202808551638,0.198411609913953,104.53266106754396,True,49,True,17.51,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.1944202808551638,2.6117305416154086
square,auxetic,0.2046323502309312,0.2051268993746549,64.61643281421533,True,150,True,47.79,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.2046323502309312,2.6653433227376233
small_square_cross,auxetic,0.2137444978014424,0.2137444832130004,104.1398565380806,True,52,True,18.38,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.2137444978014424,2.7384515187341276
nine_circle,auxetic,0.244160790010957,0.2346894269060167,69.41825340784214,True,150,True,50.56,0.569365,1.416255,2.576736,0.112346,0.58394,36.23807,0.244160790010957,2.8063398791798817
grid_circular_voids,auxetic,0.244160790010957,0.2346894269060167,69.41825340784214,True,150,True,51.83,0.569365,1.416255,2.576736,0.112346,0.58394,36.23807,0.244160790010957,2.8063398791798817
square,auxetic,0.2528056293994178,0.231747841789852,76.35926655531023,True,150,True,47.84,0.569365,1.416255,2.576736,0.112346,0.58394,36.23807,0.2528056293994178,2.8555888483748326
circle_half_quarter,first,0.2573816868877299,0.2536032028981737,-1.2075306912894384,True,61,True,23.85,0.573552,3.033662,4.782323,0.065717,0.512415,76.104967,0.2573816868877299,2.9025062283479315
nine_circle,auxetic,0.266342948992502,0.3093780358548437,124.87611866782797,True,150,True,53.74,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.266342948992502,3.0407913019561796
grid_circular_voids,auxetic,0.266342948992502,0.3093780358548437,124.87611866782797,True,150,True,53.14,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.266342948992502,3.0407913019561796
small_square_cross,auxetic,0.2680758515777415,0.2585787155224137,105.48204734141912,True,150,True,34.04,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.2680758515777415,3.050667388134373
hexagonal,auxetic,0.2792437193576631,0.2932518092475469,99.44361553930078,True,150,True,43.17,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.2792437193576631,3.1135634414995708
cross_rectangular,auxetic,0.279402673967197,0.3057200880681479,107.70780797653984,True,150,True,47.27,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.279402673967197,3.1144494862274743
hourglass,auxetic,0.2902118841122322,0.2780076461163598,123.9604714201364,True,150,True,42.89,0.590683,1.556407,5.45649,0.190038,0.381083,47.252506,0.2902118841122322,3.174121952256577
