sample_id,objective,seed,batch,volfrac,move,rmin,penal,void_size_frac,rotation_deg,beta,beta_second,best_obj_value,poisson_ratio,eigenfreq_1,eigenfreq_2,compliance,volume_fraction_final,n_iter,converged,elapsed_time,topology_path
auxetic_circle_045,auxetic,circle,phase1,0.487557,0.102044,4.594662,4.266029,0.213193,64.091465,,,77.66109840166685,0.2686520874245159,,,,0.487556,54,True,17.87,./circle/auxetic/sample_0045/iteration_00054.png
auxetic_circle_046,auxetic,circle,phase1,0.581456,0.055744,2.6125,3.279638,0.539565,55.473303,,,79.32907582224229,0.056418259623377265,,,,0.581456,80,True,24.63,./circle/auxetic/sample_0046/iteration_00080.png
auxetic_circle_047,auxetic,circle,phase1,0.502106,0.292919,1.942877,3.140049,0.679507,60.527495,,,52.35196869134229,0.08232575089028227,,,,0.502106,26,True,7.47,./circle/auxetic/sample_0047/iteration_00026.png
auxetic_circle_048,auxetic,circle,phase1,0.41181,0.13474,5.916654,2.751866,0.650752,46.621596,,,42.773929686293066,0.16417257958448114,,,,0.411809,83,True,26.91,./circle/auxetic/sample_0048/iteration_00083.png
auxetic_circle_049,auxetic,circle,phase1,0.385251,0.24099,3.802043,2.607788,0.552205,49.24353,,,31.34992698991661,0.11338815427073412,,,,0.385251,26,True,5.51,./circle/auxetic/sample_0049/iteration_00026.png
first_circle_000,first,circle,phase1,0.529808,0.166513,2.81414,1.52489,0.299058,43.24388,0.761733,,-2.3656867807610493,,-2.3656867807610493,,,0.504735,18,True,7.0,./circle/first/sample_0000/iteration_00018.png
first_circle_001,first,circle,phase1,0.433711,0.263146,4.454961,2.589751,0.650732,4.241043,1.000254,,3.295114620710352e-35,,3.295114620710352e-35,,,0.0,10,True,4.16,./circle/first/sample_0001/iteration_00010.png
first_circle_002,first,circle,phase1,0.348453,0.119681,1.544542,4.821821,0.311724,36.663004,1.433806,,7.382585919804605e-33,,7.382585919804605e-33,,,0.0,15,True,5.92,./circle/first/sample_0002/iteration_00015.png
first_circle_003,first,circle,phase1,0.237164,0.191108,5.810688,3.882344,0.638054,49.559902,0.442949,,-1.881309365673009,,-1.881309365673009,,,0.682798,10,True,4.58,./circle/first/sample_0003/iteration_00010.png
first_circle_004,first,circle,phase1,0.582766,0.220162,1.925524,2.145356,0.476742,2.933173,0.384731,,-1.3773557329987491,,-1.3773557329987491,,,0.821854,150,True,51.01,./circle/first/sample_0004/iteration_00150.png
first_circle_005,first,circle,phase1,0.206484,0.173865,1.75243,1.949606,0.393302,58.613127,0.688016,,-0.7700751456073285,,-0.7700751456073285,,,0.258226,150,True,28.97,./circle/first/sample_0005/iteration_00150.png
first_circle_006,first,circle,phase1,0.258398,0.095976,5.316774,1.215011,0.466125,19.281009,1.07562,,1.142577903954167e-34,,1.142577903954167e-34,,,0.0,17,True,7.65,./circle/first/sample_0006/iteration_00017.png
first_circle_007,first,circle,phase1,0.294882,0.056065,4.699264,3.864007,0.673351,22.130702,1.049263,,1.0490551119027779e-34,,1.0490551119027779e-34,,,0.0,24,True,9.5,./circle/first/sample_0007/iteration_00024.png
first_circle_008,first,circle,phase1,0.364329,0.109427,2.58602,1.434501,0.413316,67.552027,1.414434,,8.514912134976219e-33,,8.514912134976219e-33,,,0.0,16,True,6.01,./circle/first/sample_0008/iteration_00016.png
first_circle_009,first,circle,phase1,0.40188,0.052204,4.544642,3.189223,0.49696,73.744528,0.625519,,-1.5788883523379318,,-1.5788883523379318,,,0.8044,16,True,6.38,./circle/first/sample_0009/iteration_00016.png
first_circle_010,first,circle,phase1,0.390283,0.08883,5.41466,4.407318,0.649417,46.293509,0.508954,,-1.8866204805615534,,-1.8866204805615534,,,0.668397,10,True,5.05,./circle/first/sample_0010/iteration_00010.png
first_circle_011,first,circle,phase1,0.586705,0.281678,2.72161,3.115437,0.585936,11.134763,1.399993,,9.593729840887087e-34,,9.593729840887087e-34,,,0.0,10,True,3.98,./circle/first/sample_0011/iteration_00010.png
first_circle_012,first,circle,phase1,0.215818,0.287691,4.827764,4.112796,0.358387,27.898119,0.320345,,-1.2409881993094964,,-1.2409881993094964,,,0.889033,150,True,53.0,./circle/first/sample_0012/iteration_00150.png
first_circle_013,first,circle,phase1,0.498429,0.163492,3.461898,4.644307,0.433697,42.548737,1.257896,,6.547076928267689e-34,,6.547076928267689e-34,,,0.0,13,True,3.62,./circle/first/sample_0013/iteration_00013.png
first_circle_014,first,circle,phase1,0.319056,0.196501,1.209142,2.923048,0.617341,79.255483,0.90531,,9.743562235631786e-36,,9.743562235631786e-36,,,0.0,12,True,4.74,./circle/first/sample_0014/iteration_00012.png
first_circle_015,first,circle,phase1,0.410265,0.094518,3.372776,3.524051,0.280974,78.379603,0.655143,,-0.7963467981229391,,-0.7963467981229391,,,0.895243,150,True,45.04,./circle/first/sample_0015/iteration_00150.png
first_circle_016,first,circle,phase1,0.573552,0.065717,4.782323,3.033662,0.512415,76.104967,0.40963,,-1.6365585075091815,,-1.6365585075091815,,,0.7932,10,True,4.84,./circle/first/sample_0016/iteration_00010.png
first_circle_017,first,circle,phase1,0.490982,0.259578,3.535015,3.353272,0.235842,53.925094,1.200144,,2.053737776475685e-34,,2.053737776475685e-34,,,0.0,10,True,3.93,./circle/first/sample_0017/iteration_00010.png
first_circle_018,first,circle,phase1,0.509361,0.147062,2.08966,3.788438,0.508294,37.934784,0.958055,,1.8695592631713195e-35,,1.8695592631713195e-35,,,0.0,13,True,5.27,./circle/first/sample_0018/iteration_00013.png
first_circle_019,first,circle,phase1,0.517225,0.245207,4.99772,3.992727,0.245177,88.591077,1.498014,,2.828131418761628e-33,,2.828131418761628e-33,,,0.0,11,True,4.64,./circle/first/sample_0019/iteration_00011.png
first_circle_020,first,circle,phase1,0.300107,0.277141,5.606217,2.800743,0.555265,35.519444,1.300042,,4.572455721615706e-34,,4.572455721615706e-34,,,0.0,10,True,4.93,./circle/first/sample_0020/iteration_00010.png
first_circle_021,first,circle,phase1,0.395835,0.180869,1.497839,2.484887,0.331038,41.147552,1.342703,,1.1389699673853354e-33,,1.1389699673853354e-33,,,0.0,12,True,4.23,./circle/first/sample_0021/iteration_00012.png
first_circle_022,first,circle,phase1,0.223131,0.251703,4.071877,2.226221,0.21273,81.416435,0.993414,,3.074536268302285e-35,,3.074536268302285e-35,,,0.0,10,True,4.17,./circle/first/sample_0022/iteration_00010.png
first_circle_023,first,circle,phase1,0.240672,0.132226,2.296259,4.181583,0.696291,68.706378,0.856602,,2.4755212135744452e-36,,2.4755212135744452e-36,,,0.0,16,True,5.77,./circle/first/sample_0023/iteration_00016.png
first_circle_024,first,circle,phase1,0.525463,0.127425,3.770908,1.963768,0.45744,5.515122,0.944049,,1.4505515331948942e-35,,1.4505515331948942e-35,,,0.0,14,True,5.45,./circle/first/sample_0024/iteration_00014.png
first_circle_025,first,circle,phase1,0.599641,0.135542,3.800762,3.445192,0.442514,14.596574,1.022557,,4.502901554100742e-35,,4.502901554100742e-35,,,0.0,14,True,5.38,./circle/first/sample_0025/iteration_00014.png
first_circle_026,first,circle,phase1,0.555849,0.071692,4.222799,4.974726,0.326263,75.42996,1.458077,,6.258623094204431e-32,,6.258623094204431e-32,,,0.0,20,True,7.41,./circle/first/sample_0026/iteration_00020.png
first_circle_027,first,circle,phase1,0.4459,0.239386,2.675903,1.725055,0.261689,60.924088,0.535698,,-1.2346782144553938,,-1.2346782144553938,,,0.518617,150,True,44.23,./circle/first/sample_0027/iteration_00150.png
first_circle_028,first,circle,phase1,0.547205,0.143448,2.380357,4.450035,0.372226,86.450712,1.367982,,1.949160752263348e-33,,1.949160752263348e-33,,,0.0,13,True,4.55,./circle/first/sample_0028/iteration_00013.png
first_circle_029,first,circle,phase1,0.430849,0.229341,2.177034,1.158885,0.403223,48.380701,1.103848,,9.805977605506425e-35,,9.805977605506425e-35,,,0.0,11,True,4.22,./circle/first/sample_0029/iteration_00011.png
first_circle_030,first,circle,phase1,0.562446,0.060979,5.180022,3.673511,0.422846,54.469829,0.728855,,-1.3988498239113933,,-1.3988498239113933,,,0.853424,45,True,17.31,./circle/first/sample_0030/iteration_00045.png
first_circle_031,first,circle,phase1,0.47901,0.153495,3.260242,3.245795,0.595114,20.406844,1.213065,,4.083495858316412e-34,,4.083495858316412e-34,,,0.0,13,True,4.86,./circle/first/sample_0031/iteration_00013.png
first_circle_032,first,circle,phase1,0.485708,0.102224,5.997514,2.286015,0.34366,8.809385,0.680632,,-0.9459702141576388,,-0.9459702141576388,,,0.902229,150,True,50.16,./circle/first/sample_0032/iteration_00150.png
first_circle_033,first,circle,phase1,0.276647,0.230335,1.140396,3.562701,0.601956,24.358713,0.593166,,-0.6947840419619571,,-0.6947840419619571,,,0.276648,150,True,28.26,./circle/first/sample_0033/iteration_00150.png
first_circle_034,first,circle,phase1,0.271857,0.201016,5.017057,2.671268,0.207674,51.244615,0.453456,,-0.5763998573062877,,-0.5763998573062877,,,0.908613,150,True,46.12,./circle/first/sample_0034/iteration_00150.png
first_circle_035,first,circle,phase1,0.537058,0.243129,1.358743,4.711751,0.625741,61.826524,1.31118,,6.530551255409587e-34,,6.530551255409587e-34,,,0.0,11,True,2.53,./circle/first/sample_0035/iteration_00011.png
first_circle_036,first,circle,phase1,0.380369,0.27127,5.776334,2.420173,0.481834,30.410499,0.490403,,-1.1963644461078782,,-1.1963644461078782,,,0.431705,150,True,46.89,./circle/first/sample_0036/iteration_00150.png
first_circle_037,first,circle,phase1,0.251245,0.188448,2.917534,4.588306,0.258561,12.742253,0.824027,,1.895516598372931e-36,,1.895516598372931e-36,,,0.0,14,True,3.02,./circle/first/sample_0037/iteration_00014.png
first_circle_038,first,circle,phase1,0.325722,0.219894,3.088451,1.627711,0.529446,86.085645,0.802719,,1.5935626635958766e-36,,1.5935626635958766e-36,,,0.0,13,True,5.04,./circle/first/sample_0038/iteration_00013.png
first_circle_039,first,circle,phase1,0.451271,0.15841,4.160637,2.865543,0.304955,65.024991,0.879573,,4.528391426831421e-36,,4.528391426831421e-36,,,0.0,15,True,5.98,./circle/first/sample_0039/iteration_00015.png
first_circle_040,first,circle,phase1,0.311652,0.123753,4.376326,2.74548,0.364288,83.850728,1.186818,,3.646501439893876e-34,,3.646501439893876e-34,,,0.0,14,True,5.78,./circle/first/sample_0040/iteration_00014.png
