batch,seed,v12,v21,volfrac,penal,rmin,move,void_size_frac,volfrac_achieved,converged,is_connected,min_feature_ok,manufacturable,periodic_ok,passes_all
1,circle,-0.2735082736641646,-0.2949218383647118,0.45915,2.057777,1.667949,0.178016,0.456228,0.45915,True,True,True,True,True,True
1,circle,-0.2779353042814889,-0.3173524357979161,0.490089,4.290661,1.242239,0.154375,0.437416,0.490088,True,False,False,False,False,False
1,circle,-0.236683170639884,-0.230547056822829,0.583191,2.46821,2.173371,0.123715,0.355628,0.577067,True,True,True,True,False,False
1,circle,-0.3358706871283612,-0.3358706871287078,0.682092,3.876706,1.488191,0.050013,0.527983,0.610803,True,True,True,True,False,False
1,circle,-0.3643601753158812,-0.3613462338529206,0.52498,2.80462,2.044607,0.2217,0.298016,0.52498,True,True,True,True,False,False
1,circle_half_quarter,-0.3257321792517211,-0.2701456732705984,0.500071,3.485378,1.641958,0.062258,0.321316,0.500072,True,True,True,True,False,False
1,circle_half_quarter,0.0608011474113247,0.0608011474113548,0.671686,3.741757,2.291426,0.166983,0.458564,0.314658,True,True,True,True,True,True
1,circle_half_quarter,-0.2232482864988609,-0.2232482864990287,0.597944,2.331788,1.138597,0.211588,0.356757,0.571376,True,True,True,True,False,False
1,circle_half_quarter,0.1833404422743877,0.1833404422745317,0.51956,4.885093,1.974481,0.116287,0.501055,0.360066,True,False,True,False,True,False
1,circle_half_quarter,0.0780336478176709,0.0780336478177329,0.565055,2.536863,2.356625,0.133373,0.51876,0.247844,True,False,True,False,True,False
1,circle_half_quarter,0.1168810525344283,0.1168810525344735,0.6117,4.340003,1.506448,0.238072,0.372412,0.481877,True,True,True,True,True,True
1,circle_half_quarter,0.1125371941052227,0.1125371941052679,0.655001,2.930147,1.923932,0.184236,0.403029,0.487117,True,True,True,True,True,True
1,circle_half_quarter,-0.2494222170670557,-0.2649425960596128,0.451647,3.936464,1.25946,0.08896,0.268418,0.451647,True,True,True,True,True,True
1,circle_half_quarter,-0.1947854790210743,-0.1947854790212292,0.691116,2.021794,1.778617,0.081655,0.387843,0.491364,True,False,False,False,False,False
