sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
31,True,0.10429001035111427,0.10428812622839877,4.417930943535807,157,True,496.04,0.516639,2.883126,1.640217,0.179092,0.257388,
32,True,0.15121623699969775,0.1513742105198597,4.150625012259972,171,True,562.93,0.689461,2.305039,2.073094,0.165850,0.450671,
33,True,0.10251145585291345,0.10251145585301177,4.321412643866935,35,True,97.16,0.463145,3.990213,1.035752,0.136731,0.346283,
34,True,0.10626689431607945,0.10618251472493075,4.255013464264442,200,True,603.34,0.453545,2.269097,1.262321,0.202256,0.447012,
35,True,0.12403026131463704,0.12336763130429863,4.216333176306108,200,True,373.85,0.569775,2.213894,1.600229,0.210433,0.455508,
36,True,0.14227408786918191,0.14260487603852331,4.247273385190951,100,True,313.49,0.675546,3.206393,2.304434,0.184736,0.371368,
37,True,0.14394447189988985,0.14397400261581725,4.126178706173014,82,True,202.72,0.641692,3.297581,1.147166,0.187013,0.548425,
38,True,0.12557307173278964,0.12560477351358257,4.297124068051189,103,True,304.04,0.535316,3.065542,1.746317,0.086676,0.357080,
39,True,0.1443055350178777,0.1443057051839134,4.127829034078559,200,True,410.80,0.664104,2.804037,1.183763,0.085214,0.536138,
40,True,0.1465740552039445,0.14530719775998563,4.213297669851416,200,True,488.95,0.656113,2.901690,2.244978,0.245424,0.297916,
41,True,0.10180117715663584,0.10176861066706859,4.287866420376165,200,True,317.67,0.478852,3.012091,1.159670,0.141513,0.390962,
42,True,0.11193043783987523,0.11189655613507057,4.370131526928144,200,True,507.50,0.556529,4.125133,1.834007,0.074784,0.377708,
43,True,0.1358913055587073,0.1358614862906811,4.271770563714869,120,True,201.04,0.616305,4.392137,1.566287,0.110290,0.271615,
44,True,0.10796428232733922,0.10800622194787673,4.385420209046488,200,True,494.72,0.523495,3.530685,1.940114,0.174178,0.494281,
45,True,0.11412805908950452,0.11412805908961388,4.373294232295333,62,True,112.63,0.490376,4.458508,2.483344,0.223464,0.315365,
46,True,0.1416588499539178,0.1414884160805547,4.301936839206077,181,True,446.17,0.589298,3.594853,1.841013,0.103616,0.250402,
47,True,0.15680614697552567,0.15711404204727897,4.184147352046821,200,True,292.34,0.680978,2.631957,2.416457,0.161929,0.531345,
48,True,0.138366426640584,0.13987583599471226,4.190870369295186,200,True,468.96,0.620853,2.132191,2.013021,0.119877,0.330364,
49,True,0.10871712515423478,0.10871712520419716,4.3223334217162686,28,True,52.95,0.480661,3.943814,1.077623,0.240503,0.277445,
